universe,overlay,net_all3_pos,gross_all3_pos,early_net,late_net,normal_net,early_gross,late_gross,normal_gross,early_pos_families,late_pos_families,normal_pos_families,bull2025_net,ytd2026_net
K200,CROSS_FAMILY_W10,False,False,-7.132363388184627e-05,0.00017239344116015085,0.0007593494826326737,-7.113230735123464e-05,0.00018139344116015074,0.0007648182326326732,2,2,3,0.0015021532476403668,7.141018202959207e-05
K200,CROSS_FAMILY_W20,False,False,0.00024218734753644896,-0.00013267539804349694,0.0007029961450016386,0.00026992969447522377,-8.292539804349725e-05,0.0007412773950016384,4,1,3,0.0023836050626297885,0.0027216141353408997
K200,FOUR_FAMILY_EW,False,False,-0.00033387332893497555,0.0002899276350247317,-0.0006227871970682254,6.3052424935951915e-06,0.0006904276350247307,-0.00020677157206822552,2,3,1,0.00497978347930848,0.008928977723523909
K200,SIBLING_W20,True,True,0.00017478458876336774,0.00012834830606559938,0.0004424814138800877,0.0002451927520286741,0.0002153483060656011,0.0005338876638800884,2,3,2,0.0015079720129082446,-0.0006885446743423046
KOSDAQ,CROSS_FAMILY_W10,False,False,0.00021554869989857186,0.0003410720839258241,-0.00028363842897286944,0.000219949210102652,0.00037157208392582254,-0.0002473103039728705,3,4,0,0.0007250054201284378,0.0003623295151783865
KOSDAQ,CROSS_FAMILY_W20,True,True,0.00039086346263616806,0.0005684480117050632,0.0003787318887000237,0.00042511091161575996,0.0006616980117050611,0.00048420063870002343,3,3,2,0.0003260816793954927,0.005255574300738439
KOSDAQ,FOUR_FAMILY_EW,False,False,-0.002010512560393626,7.526145813788427e-05,-0.002249580567930344,-0.0015392753154956677,0.000664761458137883,-0.0015773149429303432,1,2,2,0.006501467171849483,0.003746016658437382
KOSDAQ,SIBLING_W20,False,False,-0.00012135037702925895,0.0005919210032653791,0.00221471325537708,-5.419476478436092e-05,0.0007049210032653786,0.0023358070053770804,2,3,3,0.001586038978123488,0.008108094926221656
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,True,True,0.0003375680154523627,0.00047523307565249526,0.0009506719673879873,0.00037009352565644296,0.0005402330756524942,0.0010202032173879858,3,3,3,0.0020338684689826976,0.0009136493627646049
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,True,True,0.0008272190740603165,0.0017135792376692933,0.0009078730647387386,0.0009399104005909278,0.0018960792376692917,0.0010762324397387386,3,4,3,0.004295093875482427,0.004657222346670589
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,False,False,-5.827129660326633e-05,0.001725382092427459,-0.004458178855244087,0.0005021241115599985,0.002376632092427459,-0.003757788230244087,3,2,1,0.007951998858251921,0.00668671234217789
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,True,True,0.00044164000397805555,0.001334879048214683,0.0034003257102220076,0.0005811170447943817,0.0014546290482146838,0.0035546225852220066,2,3,2,0.002884439227836992,0.013964836276536068
KOSPI_ALL,CROSS_FAMILY_W10,True,True,0.0002920689992975258,0.0005527970328112498,0.00014859616531175674,0.0003142628768485458,0.0005967970328112489,0.0001985961653117568,4,4,3,0.0027477426657322025,0.001078371868167587
KOSPI_ALL,CROSS_FAMILY_W20,True,True,0.0002599975323598307,0.0005712585720929204,0.0004050812713474669,0.0003487730425639122,0.0007175085720929193,0.000575003146347467,2,4,3,0.002600970588682491,0.0017615384422021189
KOSPI_ALL,FOUR_FAMILY_EW,False,False,-0.0008461107223969102,-0.0044937096124880935,-0.0011217295218216097,-0.00033833011015201194,-0.003830959612488097,-0.0005162607718216088,1,1,2,0.009369880310712068,-0.0033649232007603555
KOSPI_ALL,SIBLING_W20,False,False,-0.0004994780019310902,0.0015347284236669099,0.001167824120109376,-0.00036535810397190556,0.0016899784236669095,0.001311574120109376,1,4,2,0.0021698575242530033,0.0006875250838305661
KOSPI_EX_K200,CROSS_FAMILY_W10,False,False,-1.1134922177882578e-05,0.0001021915086361639,8.376325565450705e-05,-1.0178289524820298e-05,0.00011269150863616244,0.00010641950565450885,1,2,2,0.0004066691470754791,0.0018809743709557389
KOSPI_EX_K200,CROSS_FAMILY_W20,False,True,0.00035710313171601364,-3.1718060940329846e-05,0.0008957521015644909,0.00037738374396091166,2.8281939059668417e-05,0.0009633302265644931,4,2,4,0.0010679351931579656,0.001884941368601087
KOSPI_EX_K200,FOUR_FAMILY_EW,False,False,-0.00221228398330233,-0.004317906753907941,0.000535809665684389,-0.0017858171465676368,-0.00368165675390794,0.001059637790684387,1,1,3,0.001312254304940747,0.006305030199201003
KOSPI_EX_K200,SIBLING_W20,False,False,-0.0004154314172673763,0.0003955874818814093,0.000784244111859693,-0.0003716176417571725,0.00048508748188140824,0.000871353486859691,0,2,2,0.0037002667705633586,0.0044839881774928715
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,False,False,0.0006885342492281826,0.0011850065016975136,-0.0007826546073557571,0.0007472714941261408,0.001301506501697514,-0.0006517952323557584,3,4,1,0.003169662335178427,0.007607722997610733
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,True,True,0.0012947449748300247,0.001691873645394788,0.00058114666602922,0.0014663648727892072,0.0019391236453947876,0.0008432560410292195,3,4,3,0.00441395774048362,0.011044417068078016
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,False,False,-0.00013730279192891202,0.0022497446628774796,-0.0033706336872887585,0.00048336047337720967,0.0029647446628774787,-0.00260774306228876,2,2,1,0.004695646609672452,-0.0014126718067060994
KOSPI_KOSDAQ_ALL,SIBLING_W20,True,True,0.0006395524826672634,0.002781341479251447,0.0031438640460992443,0.0008019887071570592,0.0029448414792514464,0.003335660921099244,3,3,3,0.0037894434344945055,0.016012830193984157
