universe,overlay,sample,family,n_dates,net_delta,gross_delta,positive_date_rate
K200,CROSS_FAMILY_W20,LATE_2020_2022,VALUE,75,-0.00019584960833616579,-6.384960833616687e-05,0.49333333333333335
K200,CROSS_FAMILY_W20,NORMAL_2023_2024,FLOW,48,0.0009080252935767284,0.0008580252935767304,0.6041666666666666
K200,CROSS_FAMILY_W20,NORMAL_2023_2024,MOMENTUM,48,-0.0001201277213831323,-8.106522138313343e-05,0.5416666666666666
K200,CROSS_FAMILY_W20,NORMAL_2023_2024,REVISION,48,0.0018350675170049882,0.0018553800170049886,0.5625
K200,CROSS_FAMILY_W20,NORMAL_2023_2024,VALUE,48,0.00018901949080796983,0.00033276949080796834,0.5
K200,CROSS_FAMILY_W20,YTD_2026,FLOW,13,0.0033596158911429383,0.0034173081988352456,0.6153846153846154
K200,CROSS_FAMILY_W20,YTD_2026,MOMENTUM,13,0.0013090581357629886,0.0013725196742245195,0.6153846153846154
K200,CROSS_FAMILY_W20,YTD_2026,REVISION,13,0.004829705673965185,0.00491624413550365,0.6923076923076923
K200,CROSS_FAMILY_W20,YTD_2026,VALUE,13,0.0013880768404924844,0.001497692225107869,0.5384615384615384
K200,FOUR_FAMILY_EW,BULL_2025,FLOW,25,0.008204510924062046,0.008186510924062045,0.56
K200,FOUR_FAMILY_EW,BULL_2025,MOMENTUM,25,0.0024187979249589418,0.002781797924958943,0.56
K200,FOUR_FAMILY_EW,BULL_2025,REVISION,25,0.0038374117992057517,0.0039934117992057525,0.56
K200,FOUR_FAMILY_EW,BULL_2025,VALUE,25,0.005458413269007178,0.006661413269007177,0.52
K200,FOUR_FAMILY_EW,EARLY_2016_2019,FLOW,98,0.0008006344438209801,0.0007478283213720006,0.5
K200,FOUR_FAMILY_EW,EARLY_2016_2019,MOMENTUM,98,0.0019005441121266121,0.0020206971733511005,0.5306122448979592
K200,FOUR_FAMILY_EW,EARLY_2016_2019,REVISION,98,-0.0022445798587450543,-0.0020961104709899523,0.45918367346938777
K200,FOUR_FAMILY_EW,EARLY_2016_2019,VALUE,98,-0.0017920920129424404,-0.0006471940537587678,0.46938775510204084
K200,FOUR_FAMILY_EW,LATE_2020_2022,FLOW,75,9.507463362120617e-05,2.4074633621206122e-05,0.52
K200,FOUR_FAMILY_EW,LATE_2020_2022,MOMENTUM,75,0.003908109904856784,0.004214109904856783,0.5866666666666667
K200,FOUR_FAMILY_EW,LATE_2020_2022,REVISION,75,-0.001888253761686496,-0.001753253761686497,0.48
K200,FOUR_FAMILY_EW,LATE_2020_2022,VALUE,75,-0.0009552202366925689,0.0002767797633074315,0.4266666666666667
K200,FOUR_FAMILY_EW,NORMAL_2023_2024,FLOW,48,-0.00033395712951495823,-0.00034801962951495815,0.5208333333333334
K200,FOUR_FAMILY_EW,NORMAL_2023_2024,MOMENTUM,48,-0.0014403794027131875,-0.0011419419027131857,0.4791666666666667
K200,FOUR_FAMILY_EW,NORMAL_2023_2024,REVISION,48,0.002237147297876207,0.002346522297876206,0.5
K200,FOUR_FAMILY_EW,NORMAL_2023_2024,VALUE,48,-0.002953959553920964,-0.0016836470539209646,0.4583333333333333
K200,FOUR_FAMILY_EW,YTD_2026,FLOW,13,0.017331897338091515,0.01724535887655306,0.6153846153846154
K200,FOUR_FAMILY_EW,YTD_2026,MOMENTUM,13,0.0048303817641582635,0.00511307407185057,0.6923076923076923
K200,FOUR_FAMILY_EW,YTD_2026,REVISION,13,0.008480646591357,0.008671031206741616,0.6153846153846154
K200,FOUR_FAMILY_EW,YTD_2026,VALUE,13,0.005072985200488856,0.0060883698158734605,0.46153846153846156
K200,SIBLING_W20,BULL_2025,FLOW,25,0.002166585086502304,0.0024305850865023043,0.6
K200,SIBLING_W20,BULL_2025,MOMENTUM,25,0.002332036015813034,0.002461036015813034,0.6
K200,SIBLING_W20,BULL_2025,REVISION,25,0.001795414998872902,0.0018554149988729057,0.56
K200,SIBLING_W20,BULL_2025,VALUE,25,-0.0002621480495552617,-0.00019914804955526794,0.56
K200,SIBLING_W20,EARLY_2016_2019,FLOW,98,0.0014162022524897267,0.0015853349055509505,0.5918367346938775
K200,SIBLING_W20,EARLY_2016_2019,MOMENTUM,98,-0.0007616657220007375,-0.0007471249056742059,0.47959183673469385
K200,SIBLING_W20,EARLY_2016_2019,REVISION,98,-0.0003130149433376267,-0.0002693924943580342,0.47959183673469385
K200,SIBLING_W20,EARLY_2016_2019,VALUE,98,0.00035761676790210806,0.0004119535025959858,0.5408163265306123
K200,SIBLING_W20,LATE_2020_2022,FLOW,75,0.0002912380588843318,0.0004362380588843313,0.5466666666666666
K200,SIBLING_W20,LATE_2020_2022,MOMENTUM,75,0.0003558891294710883,0.0004438891294710906,0.5066666666666667
K200,SIBLING_W20,LATE_2020_2022,REVISION,75,-7.113097760742153e-05,1.7869022392582036e-05,0.48
K200,SIBLING_W20,LATE_2020_2022,VALUE,75,-6.260298648560139e-05,-3.6602986485600096e-05,0.49333333333333335
K200,SIBLING_W20,NORMAL_2023_2024,FLOW,48,-0.0012261546983363988,-0.001066779698336401,0.5
K200,SIBLING_W20,NORMAL_2023_2024,MOMENTUM,48,-9.750876510324282e-05,-1.93837651032416e-05,0.5
K200,SIBLING_W20,NORMAL_2023_2024,REVISION,48,0.001755816507099448,0.0018511290070994512,0.6458333333333334
K200,SIBLING_W20,NORMAL_2023_2024,VALUE,48,0.0013377726118605443,0.0013705851118605457,0.6666666666666666
K200,SIBLING_W20,YTD_2026,FLOW,13,-0.0013427332058878348,-0.001060040898195523,0.46153846153846156
K200,SIBLING_W20,YTD_2026,MOMENTUM,13,0.003490501167291773,0.0035539627057533077,0.5384615384615384
K200,SIBLING_W20,YTD_2026,REVISION,13,-0.004232057987121526,-0.004168596448659983,0.5384615384615384
K200,SIBLING_W20,YTD_2026,VALUE,13,-0.0006698886716516306,-0.0006410425178054772,0.38461538461538464
KOSDAQ,CROSS_FAMILY_W10,BULL_2025,FLOW,25,0.0029215500807948385,0.0029305500807948397,0.6
KOSDAQ,CROSS_FAMILY_W10,BULL_2025,MOMENTUM,25,-0.0007786999211133863,-0.0006856999211133879,0.44
KOSDAQ,CROSS_FAMILY_W10,BULL_2025,REVISION,25,0.0008074425711932461,0.0008374425711932387,0.44
KOSDAQ,CROSS_FAMILY_W10,BULL_2025,VALUE,25,-5.027105036094735e-05,9.728949639040904e-06,0.48
KOSDAQ,CROSS_FAMILY_W10,EARLY_2016_2019,FLOW,98,0.0005418763754195964,0.0005334580080726571,0.5306122448979592
KOSDAQ,CROSS_FAMILY_W10,EARLY_2016_2019,MOMENTUM,98,0.000289316967672894,0.00030003125338717835,0.5816326530612245
KOSDAQ,CROSS_FAMILY_W10,EARLY_2016_2019,REVISION,98,-0.00026039002260396936,-0.0002512063491345851,0.4897959183673469
KOSDAQ,CROSS_FAMILY_W10,EARLY_2016_2019,VALUE,98,0.00029139147910576667,0.000297513928085358,0.5
KOSDAQ,CROSS_FAMILY_W10,LATE_2020_2022,FLOW,75,0.0002831543173221844,0.0002871543173221836,0.56
KOSDAQ,CROSS_FAMILY_W10,LATE_2020_2022,MOMENTUM,75,0.000497618298372564,0.0005986182983725632,0.5066666666666667
KOSDAQ,CROSS_FAMILY_W10,LATE_2020_2022,REVISION,75,0.00019235824773122443,0.00018835824773122376,0.5466666666666666
KOSDAQ,CROSS_FAMILY_W10,LATE_2020_2022,VALUE,75,0.0003911574722773235,0.0004121574722773198,0.5333333333333333
KOSDAQ,CROSS_FAMILY_W10,NORMAL_2023_2024,FLOW,48,-0.0006125125809725357,-0.000593762580972539,0.5833333333333334
KOSDAQ,CROSS_FAMILY_W10,NORMAL_2023_2024,MOMENTUM,48,-0.00011831126122162194,-1.5186261221621812e-05,0.5416666666666666
KOSDAQ,CROSS_FAMILY_W10,NORMAL_2023_2024,REVISION,48,-0.00018353627448560792,-0.00016166127448560691,0.4375
KOSDAQ,CROSS_FAMILY_W10,NORMAL_2023_2024,VALUE,48,-0.0002201935992117119,-0.00021863109921171418,0.4375
KOSDAQ,CROSS_FAMILY_W10,YTD_2026,FLOW,13,-0.002628569803326643,-0.0025651082648651038,0.38461538461538464
KOSDAQ,CROSS_FAMILY_W10,YTD_2026,MOMENTUM,13,0.0015674775293907273,0.0017059390678522762,0.46153846153846156
KOSDAQ,CROSS_FAMILY_W10,YTD_2026,REVISION,13,0.00327240949861005,0.0032608710370715913,0.5384615384615384
KOSDAQ,CROSS_FAMILY_W10,YTD_2026,VALUE,13,-0.0007619991639605882,-0.0007331530101144308,0.38461538461538464
KOSDAQ,CROSS_FAMILY_W20,BULL_2025,FLOW,25,-0.0017748815250466358,-0.0017658815250466357,0.48
KOSDAQ,CROSS_FAMILY_W20,BULL_2025,MOMENTUM,25,0.0019587112876285435,0.002168711287628544,0.52
KOSDAQ,CROSS_FAMILY_W20,BULL_2025,REVISION,25,0.0019020048900497202,0.0019650048900497204,0.56
KOSDAQ,CROSS_FAMILY_W20,BULL_2025,VALUE,25,-0.0007815079350496581,-0.0006645079350496638,0.4
KOSDAQ,CROSS_FAMILY_W20,EARLY_2016_2019,FLOW,98,0.0010833392414871174,0.0010940535272014032,0.5102040816326531
KOSDAQ,CROSS_FAMILY_W20,EARLY_2016_2019,MOMENTUM,98,0.0006140739007950974,0.0006959616558971382,0.5204081632653061
KOSDAQ,CROSS_FAMILY_W20,EARLY_2016_2019,REVISION,98,-0.0005253847212825018,-0.0005131398233233177,0.5
KOSDAQ,CROSS_FAMILY_W20,EARLY_2016_2019,VALUE,98,0.0003914254295449594,0.0004235682866878162,0.5612244897959183
KOSDAQ,CROSS_FAMILY_W20,LATE_2020_2022,FLOW,75,0.0005016939147822627,0.0004946939147822608,0.52
KOSDAQ,CROSS_FAMILY_W20,LATE_2020_2022,MOMENTUM,75,-0.0002820516913707103,-1.4051691370713151e-05,0.52
KOSDAQ,CROSS_FAMILY_W20,LATE_2020_2022,REVISION,75,0.0008778775203351889,0.0008808775203351891,0.5333333333333333
KOSDAQ,CROSS_FAMILY_W20,LATE_2020_2022,VALUE,75,0.0011762723030735115,0.001285272303073509,0.5466666666666666
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,FLOW,48,-0.0025158221159836667,-0.0025111346159836638,0.4166666666666667
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,MOMENTUM,48,0.004622880557190707,0.004882255557190703,0.625
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,REVISION,48,0.000459782193922563,0.0005097821939225633,0.5
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,VALUE,48,-0.0010519130803295078,-0.0009441005803295095,0.4375
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,FLOW,13,0.0026884292339160506,0.0027518907723775832,0.6153846153846154
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,MOMENTUM,13,0.007875493637875932,0.008256262868645167,0.6923076923076923
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,REVISION,13,0.009855387173312535,0.009907310250235613,0.6923076923076923
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,VALUE,13,0.0006029871578492421,0.0007356794655415537,0.6153846153846154
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,FLOW,25,-0.0011397212396530938,-0.0009867212396530926,0.44
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,MOMENTUM,25,0.004459606534779919,0.005083606534779917,0.56
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,REVISION,25,0.004579739249376108,0.005101739249376108,0.56
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,VALUE,25,0.018106244142895002,0.019567244142894995,0.56
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,FLOW,98,0.0012174082004625675,0.0012617959555646092,0.5
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,MOMENTUM,98,-0.0016838952735097536,-0.0012935891510607762,0.5
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,REVISION,98,-0.005821958265065873,-0.005528846020167917,0.42857142857142855
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,VALUE,98,-0.001753604903461444,-0.0005964620463185866,0.46938775510204084
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,FLOW,75,0.000936777580381761,0.0010177775803817597,0.5066666666666667
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,MOMENTUM,75,0.0049522351953085585,0.005547235195308559,0.56
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,REVISION,75,-0.0019037085462125561,-0.0015587085462125576,0.4533333333333333
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,VALUE,75,-0.0036842583969262255,-0.002347258396926226,0.4533333333333333
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,FLOW,48,-0.003914415619157755,-0.0038378531191577505,0.5
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,MOMENTUM,48,5.5865029776905186e-05,0.000696490029776906,0.5416666666666666
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,REVISION,48,-0.006418269599351832,-0.005929207099351834,0.4166666666666667
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,VALUE,48,0.001278497917011307,0.002761310417011305,0.5
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,FLOW,13,-0.0009640643357251737,-0.0007909874126482505,0.46153846153846156
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,MOMENTUM,13,0.005288987926919564,0.005998603311534946,0.46153846153846156
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,REVISION,13,0.009752991534147363,0.010289529995685828,0.5384615384615384
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,VALUE,13,0.0009061515084077799,0.0023196130468693056,0.46153846153846156
KOSDAQ,SIBLING_W20,BULL_2025,FLOW,25,0.001912975660729272,0.002086975660729272,0.48
KOSDAQ,SIBLING_W20,BULL_2025,MOMENTUM,25,0.0036697128661486995,0.0037867128661487003,0.6
KOSDAQ,SIBLING_W20,BULL_2025,REVISION,25,0.000568277125269612,0.0006522771252696107,0.44
KOSDAQ,SIBLING_W20,BULL_2025,VALUE,25,0.0001931902603463695,0.000229190260346368,0.52
KOSDAQ,SIBLING_W20,EARLY_2016_2019,FLOW,98,-0.0012958746227683276,-0.0011657725819520016,0.41836734693877553
KOSDAQ,SIBLING_W20,EARLY_2016_2019,MOMENTUM,98,0.0006167209808021015,0.0006940168991694474,0.5306122448979592
KOSDAQ,SIBLING_W20,EARLY_2016_2019,REVISION,98,-0.0005412131530289792,-0.0005106009081310201,0.41836734693877553
KOSDAQ,SIBLING_W20,EARLY_2016_2019,VALUE,98,0.0007349652868781697,0.0007655775317761302,0.5306122448979592
KOSDAQ,SIBLING_W20,LATE_2020_2022,FLOW,75,0.0003155439076804665,0.0004685439076804667,0.52
KOSDAQ,SIBLING_W20,LATE_2020_2022,MOMENTUM,75,0.002030816922354081,0.0022478169223540817,0.4666666666666667
KOSDAQ,SIBLING_W20,LATE_2020_2022,REVISION,75,-0.0011955616184384404,-0.0011725616184384423,0.41333333333333333
KOSDAQ,SIBLING_W20,LATE_2020_2022,VALUE,75,0.0012168848014654093,0.0012758848014654094,0.56
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,FLOW,48,-0.002207225126442301,-0.0019666001264423013,0.375
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,MOMENTUM,48,0.00833829822180599,0.008511735721805991,0.6041666666666666
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,REVISION,48,0.0020479522240544707,0.0021057647240544717,0.5833333333333334
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,VALUE,48,0.0006798277020901594,0.0006923277020901604,0.4791666666666667
KOSDAQ,SIBLING_W20,YTD_2026,FLOW,13,0.014742218695469657,0.014949911003161965,0.8461538461538461
KOSDAQ,SIBLING_W20,YTD_2026,MOMENTUM,13,0.018646171455588143,0.018784632994049682,0.6923076923076923
KOSDAQ,SIBLING_W20,YTD_2026,REVISION,13,0.0010844092808948655,0.0011421015885871612,0.6153846153846154
KOSDAQ,SIBLING_W20,YTD_2026,VALUE,13,-0.0020404197270660457,-0.0019827274193737346,0.38461538461538464
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,FLOW,25,0.0008134389216772061,0.0008434389216772061,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,MOMENTUM,25,0.006023049781622925,0.006110049781622924,0.52
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,REVISION,25,0.00044169344027923364,0.0004986934402792336,0.52
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,VALUE,25,0.0008572917323514241,0.0009322917323514232,0.64
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,FLOW,98,0.0011449258985987978,0.0011518136537008372,0.5612244897959183
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,MOMENTUM,98,6.703482181424827e-05,0.00013285114834485972,0.5102040816326531
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,REVISION,98,-0.0003922361575477412,-0.0003761647289763126,0.47959183673469385
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,VALUE,98,0.0005305474989441457,0.0005718740295563874,0.5102040816326531
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,FLOW,75,0.0016640740670148672,0.0016940740670148668,0.5466666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,MOMENTUM,75,-0.0013188158939923247,-0.0011428158939923248,0.44
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,REVISION,75,0.001601992156546618,0.0015999921565466179,0.5866666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,VALUE,75,-4.631802695917962e-05,9.681973040816643e-06,0.49333333333333335
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,FLOW,48,-0.0013556779312261168,-0.0013291154312261176,0.375
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,MOMENTUM,48,0.004328972599918056,0.00451334759991805,0.6666666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,REVISION,48,0.0006975211014369604,0.0007068961014369597,0.5416666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,VALUE,48,0.0001318720994230505,0.00018968459942305112,0.4791666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,FLOW,13,0.0030744713867862997,0.0031148560021709145,0.5384615384615384
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,MOMENTUM,13,-0.001625825807973529,-0.0013662104233581414,0.6153846153846154
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,REVISION,13,0.003492688505225592,0.0036023038898409803,0.7692307692307693
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,VALUE,13,-0.0012867366329799425,-0.0012982750945184055,0.3076923076923077
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,FLOW,25,0.000831656548848852,0.0008556565488488537,0.52
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,MOMENTUM,25,0.01198850531049209,0.012237505310492091,0.6
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,REVISION,25,0.0013390976913954218,0.0014470976913954204,0.6
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,VALUE,25,0.0030211159511933385,0.003219115951193337,0.64
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,FLOW,98,0.0022917251704686293,0.002329225170468631,0.6224489795918368
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,MOMENTUM,98,0.0008283853603771826,0.0010526200542547324,0.5204081632653061
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,REVISION,98,-0.0003953105501224793,-0.00035934116236737904,0.4897959183673469
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,VALUE,98,0.0005840763155179332,0.0007371375400077266,0.45918367346938777
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,FLOW,75,0.0020844017210836343,0.0021254017210836323,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,MOMENTUM,75,0.0012078777209092457,0.001592877720909243,0.48
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,REVISION,75,0.002674794470749595,0.002725794470749594,0.6133333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,VALUE,75,0.0008872430379346989,0.0011402430379346983,0.5866666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,FLOW,48,-0.0014055617484535514,-0.001400874248453551,0.4583333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,MOMENTUM,48,0.0029986151113747723,0.00339705261137477,0.5416666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,REVISION,48,0.00087779826975567,0.0009512357697556703,0.5625
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,VALUE,48,0.0011606406262780627,0.0013575156262780645,0.5625
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,FLOW,13,0.0055334059731289,0.0056084059731289,0.5384615384615384
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,MOMENTUM,13,0.012784016738002541,0.013210939814925628,0.7692307692307693
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,REVISION,13,0.0037515914863820348,0.0038727453325358803,0.6153846153846154
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,VALUE,13,-0.0034401248108311194,-0.0032785863492926577,0.3076923076923077
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,FLOW,25,-0.0030195332614453363,-0.002926533261445337,0.36
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,MOMENTUM,25,0.010618978267070174,0.011128978267070173,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,REVISION,25,0.006325327137000854,0.006679327137000852,0.6
