date,universe,factor,family,base_ic
2016-01-18,KOSPI_ALL,PER12MF,VALUE,-0.05243629131559983
2016-01-18,KOSPI_ALL,MOM1M,MOMENTUM,-0.05470981126363564
2016-01-18,KOSPI_ALL,MOM12_1,MOMENTUM,0.030431862615618564
2016-01-18,KOSPI_ALL,PRIVATE_FLOW,FLOW,-0.0011717926023364143
2016-01-18,KOSPI_ALL,FOREIGN_FLOW,FLOW,-0.0026731822870065124
2016-01-18,KOSDAQ,OP12_REV,REVISION,-0.03981587047445334
2016-01-18,KOSDAQ,OPFY1_REV,REVISION,0.026738257167069932
2016-01-18,KOSDAQ,PBR12MF,VALUE,-0.12590361391830107
2016-01-18,KOSDAQ,PER12MF,VALUE,-0.09307159668121533
2016-01-18,KOSDAQ,MOM1M,MOMENTUM,-0.07644545058945498
2016-01-18,KOSDAQ,MOM12_1,MOMENTUM,-0.020037618248874258
2016-01-18,KOSDAQ,PRIVATE_FLOW,FLOW,0.07063005312574831
2016-01-18,KOSDAQ,FOREIGN_FLOW,FLOW,0.060237119937350245
2016-01-18,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,-0.06126844221138972
2016-01-18,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,-0.07756376330909949
2016-01-18,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,0.0035259473826182363
2016-01-18,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,-0.049867723349522504
2016-01-18,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,-0.08166008782445489
2016-01-18,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,0.009068948307019443
2016-01-18,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,0.022533149248871134
2016-01-18,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,0.020986779352173978
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,-0.03230542541716352
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,0.04522217266288673
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,-0.10021663715231224
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,-0.15233913861523052
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,-0.08019612972602998
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.004525885141689351
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.002396748591697056
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,0.03784527242719081
2016-02-01,K200,OP12_REV,REVISION,-0.30071281622778545
2016-02-01,K200,OPFY1_REV,REVISION,-0.12291668490098814
2016-02-01,K200,PBR12MF,VALUE,0.5752010265305039
2016-02-01,K200,PER12MF,VALUE,0.5007025170044443
2016-02-01,K200,MOM1M,MOMENTUM,-0.3259633478151087
2016-02-01,K200,MOM12_1,MOMENTUM,-0.5055708804752366
2016-02-01,K200,PRIVATE_FLOW,FLOW,0.06464590347934684
2016-02-01,K200,FOREIGN_FLOW,FLOW,-0.1862040923355441
2016-02-01,KOSPI_EX_K200,OP12_REV,REVISION,-0.09294899224920312
2016-02-01,KOSPI_EX_K200,OPFY1_REV,REVISION,-0.10347479758237127
2016-02-01,KOSPI_EX_K200,PBR12MF,VALUE,0.360592813722403
2016-02-01,KOSPI_EX_K200,PER12MF,VALUE,0.43078248152327164
2016-02-01,KOSPI_EX_K200,MOM1M,MOMENTUM,-0.2103946251046175
2016-02-01,KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.21596971880543211
2016-02-01,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.10658540856477047
2016-02-01,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.20975289757647328
2016-02-01,KOSPI_ALL,OP12_REV,REVISION,-0.25322043811355893
2016-02-01,KOSPI_ALL,OPFY1_REV,REVISION,-0.11900592502095626
2016-02-01,KOSPI_ALL,PBR12MF,VALUE,0.5086973866674082
2016-02-01,KOSPI_ALL,PER12MF,VALUE,0.45803109344777654
2016-02-01,KOSPI_ALL,MOM1M,MOMENTUM,-0.2729751391616385
2016-02-01,KOSPI_ALL,MOM12_1,MOMENTUM,-0.4015147631402209
2016-02-01,KOSPI_ALL,PRIVATE_FLOW,FLOW,0.0257872546937529
2016-02-01,KOSPI_ALL,FOREIGN_FLOW,FLOW,-0.2124943207556728
2016-02-01,KOSDAQ,OP12_REV,REVISION,-0.04223882533235843
2016-02-01,KOSDAQ,OPFY1_REV,REVISION,-0.14873093929483142
2016-02-01,KOSDAQ,PBR12MF,VALUE,0.4789932972942988
2016-02-01,KOSDAQ,PER12MF,VALUE,0.5377687667784278
2016-02-01,KOSDAQ,MOM1M,MOMENTUM,-0.11334719450117176
2016-02-01,KOSDAQ,MOM12_1,MOMENTUM,-0.09071114422075521
2016-02-01,KOSDAQ,PRIVATE_FLOW,FLOW,0.24428792245014608
2016-02-01,KOSDAQ,FOREIGN_FLOW,FLOW,0.029214911672712954
2016-02-01,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,-0.20103482830446728
2016-02-01,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,-0.1611034059652677
2016-02-01,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,0.5246466069485584
2016-02-01,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,0.5073395081822093
2016-02-01,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,-0.2348189863102656
2016-02-01,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,-0.2978113268748885
2016-02-01,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,0.12238250830854971
2016-02-01,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,-0.1510592213477988
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,-0.06503993424608447
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,-0.1430991475906989
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,0.4307963114896189
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,0.5142552181519391
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,-0.17656516573830183
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.139952818019715
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,0.11131713788739317
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.07718922397649532
2016-02-18,K200,OP12_REV,REVISION,-0.15689280348970627
2016-02-18,K200,OPFY1_REV,REVISION,-0.1598024208490505
2016-02-18,K200,PBR12MF,VALUE,0.27198794733823256
2016-02-18,K200,PER12MF,VALUE,0.17836676252303507
2016-02-18,K200,MOM1M,MOMENTUM,0.06391739213055525
2016-02-18,K200,MOM12_1,MOMENTUM,-0.19339046869821436
2016-02-18,K200,PRIVATE_FLOW,FLOW,-0.00022364193733082576
2016-02-18,K200,FOREIGN_FLOW,FLOW,0.07705719577575414
2016-02-18,KOSPI_EX_K200,OP12_REV,REVISION,0.024237418483773525
2016-02-18,KOSPI_EX_K200,OPFY1_REV,REVISION,0.04937756722893613
2016-02-18,KOSPI_EX_K200,PBR12MF,VALUE,0.1072993411193676
2016-02-18,KOSPI_EX_K200,PER12MF,VALUE,0.21066511320261433
2016-02-18,KOSPI_EX_K200,MOM1M,MOMENTUM,-0.2084107585420401
2016-02-18,KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.050397877590904
2016-02-18,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.1521036978971827
2016-02-18,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,0.00529313027589502
2016-02-18,KOSPI_ALL,OP12_REV,REVISION,-0.10164343067205
2016-02-18,KOSPI_ALL,OPFY1_REV,REVISION,-0.09494889749437731
2016-02-18,KOSPI_ALL,PBR12MF,VALUE,0.22077584406646159
2016-02-18,KOSPI_ALL,PER12MF,VALUE,0.18566941998152522
2016-02-18,KOSPI_ALL,MOM1M,MOMENTUM,-0.06453932355203204
2016-02-18,KOSPI_ALL,MOM12_1,MOMENTUM,-0.12602478960499586
2016-02-18,KOSPI_ALL,PRIVATE_FLOW,FLOW,-0.056685813284180354
2016-02-18,KOSPI_ALL,FOREIGN_FLOW,FLOW,0.05627221631997295
2016-02-18,KOSDAQ,OP12_REV,REVISION,-0.008027414242369857
2016-02-18,KOSDAQ,OPFY1_REV,REVISION,0.011532297957917798
2016-02-18,KOSDAQ,PBR12MF,VALUE,0.058657032716656336
2016-02-18,KOSDAQ,PER12MF,VALUE,0.022464383194539528
2016-02-18,KOSDAQ,MOM1M,MOMENTUM,-0.20624578385330253
2016-02-18,KOSDAQ,MOM12_1,MOMENTUM,-0.016400045793962283
2016-02-18,KOSDAQ,PRIVATE_FLOW,FLOW,-0.15472509433241077
2016-02-18,KOSDAQ,FOREIGN_FLOW,FLOW,-0.14460401199269068
2016-02-18,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,-0.05427813380271458
2016-02-18,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,-0.051597487852704536
2016-02-18,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,0.09622534970463088
2016-02-18,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,0.09895810169074772
2016-02-18,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,-0.13677835041497013
2016-02-18,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,-0.06857593898759747
2016-02-18,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,-0.10936780495057992
2016-02-18,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,-0.011618420134800855
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,0.00943032185527075
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,0.03151738415971594
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,0.00012059907340947297
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,0.04642437977257667
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,-0.212868019945818
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.02445728045578184
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.16776580340406666
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.08253610663778839
2016-03-04,K200,OP12_REV,REVISION,-0.09322850583841896
2016-03-04,K200,OPFY1_REV,REVISION,-0.06894663438603649
2016-03-04,K200,PBR12MF,VALUE,0.07452136714836184
2016-03-04,K200,PER12MF,VALUE,0.13808421987648778
2016-03-04,K200,MOM1M,MOMENTUM,0.0703039755089945
2016-03-04,K200,MOM12_1,MOMENTUM,-0.04914567678877864
2016-03-04,K200,PRIVATE_FLOW,FLOW,-0.013726957329572879
2016-03-04,K200,FOREIGN_FLOW,FLOW,-0.10978918781162696
2016-03-04,KOSPI_EX_K200,OP12_REV,REVISION,-0.11483265329484736
2016-03-04,KOSPI_EX_K200,OPFY1_REV,REVISION,-0.20996129584466747
2016-03-04,KOSPI_EX_K200,PBR12MF,VALUE,0.19328345724754042
2016-03-04,KOSPI_EX_K200,PER12MF,VALUE,0.21971421176319456
2016-03-04,KOSPI_EX_K200,MOM1M,MOMENTUM,-0.022571276527504187
2016-03-04,KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.005614794840033479
2016-03-04,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.15050112947617794
2016-03-04,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,0.028904589312619675
2016-03-04,KOSPI_ALL,OP12_REV,REVISION,-0.09945959808348422
2016-03-04,KOSPI_ALL,OPFY1_REV,REVISION,-0.1154833825389746
2016-03-04,KOSPI_ALL,PBR12MF,VALUE,0.12014221944391704
2016-03-04,KOSPI_ALL,PER12MF,VALUE,0.15764163754521296
2016-03-04,KOSPI_ALL,MOM1M,MOMENTUM,0.023349129121800975
2016-03-04,KOSPI_ALL,MOM12_1,MOMENTUM,-0.028214599904620247
2016-03-04,KOSPI_ALL,PRIVATE_FLOW,FLOW,-0.07022147741554632
2016-03-04,KOSPI_ALL,FOREIGN_FLOW,FLOW,-0.05289100534078049
2016-03-04,KOSDAQ,OP12_REV,REVISION,-0.06606304258206348
2016-03-04,KOSDAQ,OPFY1_REV,REVISION,-0.16098547044518616
2016-03-04,KOSDAQ,PBR12MF,VALUE,0.20236938767138268
2016-03-04,KOSDAQ,PER12MF,VALUE,0.06348366860311724
2016-03-04,KOSDAQ,MOM1M,MOMENTUM,0.09627031706324198
2016-03-04,KOSDAQ,MOM12_1,MOMENTUM,-0.10571692670157125
2016-03-04,KOSDAQ,PRIVATE_FLOW,FLOW,0.014395132519998178
2016-03-04,KOSDAQ,FOREIGN_FLOW,FLOW,-0.02126705711438739
2016-03-04,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,-0.09077728187139282
2016-03-04,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,-0.1323261225173612
2016-03-04,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,0.1734352543377414
2016-03-04,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,0.1418470446769239
2016-03-04,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,0.060495266729560564
2016-03-04,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,-0.06274428453716475
2016-03-04,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,-0.025511202978288485
2016-03-04,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,-0.036919274961092416
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,-0.08490990236033899
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,-0.18428788166171609
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,0.20471108164634694
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,0.12743249080152474
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,0.059867621725650015
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.07332646660832834
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.03386287178192637
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.003520773735338706
2016-03-18,K200,OP12_REV,REVISION,0.2238155121775761
2016-03-18,K200,OPFY1_REV,REVISION,0.26345042091989257
2016-03-18,K200,PBR12MF,VALUE,-0.043293198415827815
2016-03-18,K200,PER12MF,VALUE,0.15935174784889417
2016-03-18,K200,MOM1M,MOMENTUM,0.031580895104162225
2016-03-18,K200,MOM12_1,MOMENTUM,0.09233303425152688
2016-03-18,K200,PRIVATE_FLOW,FLOW,0.13260760416826775
2016-03-18,K200,FOREIGN_FLOW,FLOW,-0.06502182348534045
2016-03-18,KOSPI_EX_K200,OP12_REV,REVISION,0.04200985587980734
2016-03-18,KOSPI_EX_K200,OPFY1_REV,REVISION,0.15396558066953642
2016-03-18,KOSPI_EX_K200,PBR12MF,VALUE,0.19297242849856472
2016-03-18,KOSPI_EX_K200,PER12MF,VALUE,0.3259118140907963
2016-03-18,KOSPI_EX_K200,MOM1M,MOMENTUM,0.04198348450226992
2016-03-18,KOSPI_EX_K200,MOM12_1,MOMENTUM,0.028356068544939002
2016-03-18,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.000897872068637488
2016-03-18,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.0651731851975049
2016-03-18,KOSPI_ALL,OP12_REV,REVISION,0.1702568392889992
2016-03-18,KOSPI_ALL,OPFY1_REV,REVISION,0.23152322676140222
2016-03-18,KOSPI_ALL,PBR12MF,VALUE,0.02302265190925701
2016-03-18,KOSPI_ALL,PER12MF,VALUE,0.21839183321905128
2016-03-18,KOSPI_ALL,MOM1M,MOMENTUM,0.0379018570770073
2016-03-18,KOSPI_ALL,MOM12_1,MOMENTUM,0.06928321584012075
2016-03-18,KOSPI_ALL,PRIVATE_FLOW,FLOW,0.0802734430889395
2016-03-18,KOSPI_ALL,FOREIGN_FLOW,FLOW,-0.06589056685105042
2016-03-18,KOSDAQ,OP12_REV,REVISION,0.10468987631696675
2016-03-18,KOSDAQ,OPFY1_REV,REVISION,0.13330029454194656
2016-03-18,KOSDAQ,PBR12MF,VALUE,-0.08931784991785356
2016-03-18,KOSDAQ,PER12MF,VALUE,-0.026206588506833276
2016-03-18,KOSDAQ,MOM1M,MOMENTUM,-0.21468027075199086
2016-03-18,KOSDAQ,MOM12_1,MOMENTUM,0.06851345123725407
2016-03-18,KOSDAQ,PRIVATE_FLOW,FLOW,-0.03679684202276189
2016-03-18,KOSDAQ,FOREIGN_FLOW,FLOW,-0.048080433828844776
2016-03-18,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,0.1452466335934752
2016-03-18,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,0.19647635639459074
2016-03-18,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,-0.01713157673198547
2016-03-18,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,0.12172153554787682
2016-03-18,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,-0.05068523101497809
2016-03-18,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,0.06612739174009324
2016-03-18,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,0.02424374524821191
2016-03-18,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,-0.052726156790810164
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,0.07105000922489743
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,0.13718096341867278
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,0.034528281655228185
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,0.09968817208396433
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,-0.10994629122978032
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,0.04623431436727173
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.03253889399575553
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.04958254451376767
2016-04-01,K200,OP12_REV,REVISION,0.04096066659304081
2016-04-01,K200,OPFY1_REV,REVISION,-0.01015142731353578
2016-04-01,K200,PBR12MF,VALUE,0.22945532918868197
2016-04-01,K200,PER12MF,VALUE,0.13870967379140112
2016-04-01,K200,MOM1M,MOMENTUM,0.06726523692513994
2016-04-01,K200,MOM12_1,MOMENTUM,-0.20903228995985554
2016-04-01,K200,PRIVATE_FLOW,FLOW,-0.1396768317213375
2016-04-01,K200,FOREIGN_FLOW,FLOW,0.002698900457296484
2016-04-01,KOSPI_EX_K200,OP12_REV,REVISION,-0.2391060774665592
2016-04-01,KOSPI_EX_K200,OPFY1_REV,REVISION,-0.18062602965840557
2016-04-01,KOSPI_EX_K200,PBR12MF,VALUE,0.1024329471351294
2016-04-01,KOSPI_EX_K200,PER12MF,VALUE,0.21910936485907376
2016-04-01,KOSPI_EX_K200,MOM1M,MOMENTUM,-0.04914434316971211
2016-04-01,KOSPI_EX_K200,MOM12_1,MOMENTUM,-0.15951639879356322
2016-04-01,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,-0.07005980284269914
2016-04-01,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.031135481772845117
2016-04-01,KOSPI_ALL,OP12_REV,REVISION,-0.04532251221066899
2016-04-01,KOSPI_ALL,OPFY1_REV,REVISION,-0.06352134378821112
2016-04-01,KOSPI_ALL,PBR12MF,VALUE,0.20005099886563849
2016-04-01,KOSPI_ALL,PER12MF,VALUE,0.14410298675137478
2016-04-01,KOSPI_ALL,MOM1M,MOMENTUM,0.012709504040379689
2016-04-01,KOSPI_ALL,MOM12_1,MOMENTUM,-0.18604355933465366
2016-04-01,KOSPI_ALL,PRIVATE_FLOW,FLOW,-0.13834738180971295
2016-04-01,KOSPI_ALL,FOREIGN_FLOW,FLOW,-0.019787400067870744
2016-04-01,KOSDAQ,OP12_REV,REVISION,-0.0670340344306221
2016-04-01,KOSDAQ,OPFY1_REV,REVISION,0.014374452153886327
2016-04-01,KOSDAQ,PBR12MF,VALUE,0.22989503044815543
2016-04-01,KOSDAQ,PER12MF,VALUE,0.2765048607291637
2016-04-01,KOSDAQ,MOM1M,MOMENTUM,-0.15630630037393015
2016-04-01,KOSDAQ,MOM12_1,MOMENTUM,-0.21840286283418367
2016-04-01,KOSDAQ,PRIVATE_FLOW,FLOW,-0.007876651493479995
2016-04-01,KOSDAQ,FOREIGN_FLOW,FLOW,-0.11538355692368935
2016-04-01,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,-0.06810204637153759
2016-04-01,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,-0.03945497333550932
2016-04-01,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,0.23444953383700545
2016-04-01,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,0.21678911380022986
2016-04-01,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,-0.05221095746961786
2016-04-01,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,-0.1960042351173728
