universe,factor,family,overlay,sample,n,ann_return,sharpe,mdd,hit_rate,avg_turnover,mean_delta_vs_base,beat_base_rate,median_delta_vs_base
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.019571490526957946,0.2063802059094384,-0.14319998838696535,0.5833333333333334,0.45729166666666665,0.0011275648687364044,0.5416666666666666,0.001008897941528605
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W20,YTD_2026,13,-0.19527727699527508,-0.24052112984297047,-0.36676659094939734,0.46153846153846156,0.5192307692307693,0.0022602811163313576,0.38461538461538464,-0.0005713290101498347
K200,FOREIGN_FLOW,FLOW,FOUR_FAMILY_EW,BULL_2025,25,1.0135883331337672,2.6238471365387364,-0.08591422515918845,0.76,0.4880000000000001,0.004443099251078472,0.6,0.0025918444633112707
K200,FOREIGN_FLOW,FLOW,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.03147876288941809,-0.13879896747728093,-0.3403214724744966,0.5,0.473469387755102,-7.47757073833508e-05,0.5102040816326531,0.0002885481897032578
K200,FOREIGN_FLOW,FLOW,FOUR_FAMILY_EW,LATE_2020_2022,75,0.0793701511584195,0.44407166406584353,-0.2835882860310158,0.5733333333333334,0.49333333333333335,0.0019807536094245534,0.52,0.0015849041764558814
K200,FOREIGN_FLOW,FLOW,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.00531453481078259,0.0447137345323229,-0.19048931606532626,0.4166666666666667,0.5,0.0002506020870969381,0.4375,-0.00290924998621229
K200,FOREIGN_FLOW,FLOW,FOUR_FAMILY_EW,YTD_2026,13,0.6062601336059652,1.3475618563589356,-0.1984131024971708,0.5384615384615384,0.44999999999999996,0.028726329456825198,0.6923076923076923,0.019462807631329404
K200,FOREIGN_FLOW,FLOW,SIBLING_W20,BULL_2025,25,0.8750754885336927,2.35465062031974,-0.0974253911124644,0.68,0.576,0.0015635752291196286,0.44,-0.0019857178202816357
K200,FOREIGN_FLOW,FLOW,SIBLING_W20,EARLY_2016_2019,98,-0.006829305718775935,0.04246278255752334,-0.3234930252799908,0.5918367346938775,0.5142857142857142,0.0010278378376070729,0.5714285714285714,0.002052135254022671
K200,FOREIGN_FLOW,FLOW,SIBLING_W20,LATE_2020_2022,75,0.04262382241770757,0.3027752654258459,-0.3683172472543277,0.56,0.5553333333333335,0.0005043707571212371,0.56,0.003247597681316115
K200,FOREIGN_FLOW,FLOW,SIBLING_W20,NORMAL_2023_2024,48,-0.026536400747267375,-0.10550351228760844,-0.18560533202571794,0.4166666666666667,0.5510416666666667,-0.000664240290485122,0.5208333333333334,0.002007830083846066
K200,FOREIGN_FLOW,FLOW,SIBLING_W20,YTD_2026,13,-0.12136704628096184,-0.20624112991632715,-0.27263383664287777,0.46153846153846156,0.5923076923076923,0.003869776398661657,0.46153846153846156,-0.002082780473515587
K200,MOM12_1,MOMENTUM,BASE,BULL_2025,25,1.077951770839551,2.2216420500254674,-0.11339833179854886,0.64,0.16,0.0,0.0,0.0
K200,MOM12_1,MOMENTUM,BASE,EARLY_2016_2019,98,-0.08896797638823684,-0.3949189522857313,-0.37109353999439787,0.5612244897959183,0.22857142857142856,0.0,0.0,0.0
K200,MOM12_1,MOMENTUM,BASE,LATE_2020_2022,75,0.04892610174953127,0.31055896117217746,-0.36986247375697345,0.5466666666666666,0.17666666666666664,0.0,0.0,0.0
K200,MOM12_1,MOMENTUM,BASE,NORMAL_2023_2024,48,0.14602428975828663,0.6988024895309587,-0.22580524193271234,0.5625,0.1958333333333333,0.0,0.0,0.0
K200,MOM12_1,MOMENTUM,BASE,YTD_2026,13,0.08130538585294111,0.42141748085493613,-0.4013695923281212,0.5384615384615384,0.15769230769230771,0.0,0.0,0.0
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W10,BULL_2025,25,1.1945961319519154,2.3921407942544697,-0.11565130298251858,0.68,0.15999999999999998,0.0021988709891176835,0.52,0.00014999999999999736
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W10,EARLY_2016_2019,98,-0.10001062674776384,-0.47704664399564806,-0.3869187606021689,0.5714285714285714,0.2260204081632653,-0.0005204835725066873,0.4897959183673469,0.0
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W10,LATE_2020_2022,75,0.027954212684176305,0.2413777438533917,-0.36285420234282995,0.5333333333333333,0.18599999999999997,-0.0008167969595655124,0.4533333333333333,0.0
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.13330608887228923,0.6569818413557315,-0.2080863711277492,0.5625,0.19895833333333335,-0.00047729749476882667,0.4583333333333333,-7.500000000000215e-05
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W10,YTD_2026,13,-0.04564691428587975,0.22225069632360875,-0.4222076603726116,0.46153846153846156,0.1769230769230769,-0.0052274181873880965,0.15384615384615385,-0.0013442511305500615
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W20,BULL_2025,25,1.2068386387361234,2.527355711471722,-0.09822153429619185,0.68,0.22000000000000003,0.002165670548333644,0.56,0.0012095902224454926
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W20,EARLY_2016_2019,98,-0.10333462759655021,-0.5397684845575723,-0.4030754940730834,0.5510204081632653,0.23622448979591834,-0.000744701550508803,0.4387755102040816,-0.0012780710861242611
K200,MOM12_1,MOMENTUM,CROSS_FAMILY_W20,LATE_2020_2022,75,0.027786826456206004,0.239792575681316,-0.3423217701830821,0.5466666666666666,0.20933333333333334,-0.0009449293488100056,0.49333333333333335,-0.0003246968133303954
