universe,overlay,sample,date,net_delta,gross_delta,turnover_delta
K200,CROSS_FAMILY_W10,BULL_2025,2025-01-02,-0.002305727489371675,-0.0022869774893716625,0.0062499999999999865
K200,CROSS_FAMILY_W10,BULL_2025,2025-01-16,0.0013679239666166006,0.0014054239666166004,0.012499999999999975
K200,CROSS_FAMILY_W10,BULL_2025,2025-02-05,-0.002348388932093773,-0.002329638932093773,0.00625
K200,CROSS_FAMILY_W10,BULL_2025,2025-02-19,0.004190240450220188,0.004208990450220188,0.006250000000000013
K200,CROSS_FAMILY_W10,BULL_2025,2025-03-06,0.0007749995372623999,0.0008124995372623999,0.0125
K200,CROSS_FAMILY_W10,BULL_2025,2025-03-20,-0.0014024272683846508,-0.001346177268384651,0.018749999999999975
K200,CROSS_FAMILY_W10,BULL_2025,2025-04-03,0.0017949560274209816,0.0018137060274209748,0.006250000000000013
K200,CROSS_FAMILY_W10,BULL_2025,2025-04-17,0.0029594537790253264,0.0029407037790253263,-0.0062499999999999865
K200,CROSS_FAMILY_W10,BULL_2025,2025-05-02,0.0038562901466905257,0.003931290146690515,0.024999999999999974
K200,CROSS_FAMILY_W10,BULL_2025,2025-05-20,0.017194784344253224,0.017194784344253224,1.3010426069826053e-17
K200,CROSS_FAMILY_W10,BULL_2025,2025-06-04,0.0016405563547039375,0.0016593063547039248,0.006249999999999987
K200,CROSS_FAMILY_W10,BULL_2025,2025-06-19,-0.0006795450115873356,-0.0006045450115873604,0.024999999999999974
K200,CROSS_FAMILY_W10,BULL_2025,2025-07-03,0.0020616976006333,0.0020991976006332867,0.012500000000000015
K200,CROSS_FAMILY_W10,BULL_2025,2025-07-17,-0.002395390378589462,-0.0023391403785894623,0.01874999999999999
K200,CROSS_FAMILY_W10,BULL_2025,2025-07-31,-0.0015726931817219374,-0.0015164431817219252,0.01874999999999999
K200,CROSS_FAMILY_W10,BULL_2025,2025-08-14,0.002292923351124388,0.002199173351124388,-0.03124999999999999
K200,CROSS_FAMILY_W10,BULL_2025,2025-08-29,0.0027205556128263625,0.0027580556128263627,0.012500000000000015
K200,CROSS_FAMILY_W10,BULL_2025,2025-09-12,-0.0007799026976510712,-0.0007611526976510707,0.00625
K200,CROSS_FAMILY_W10,BULL_2025,2025-09-26,0.0004659950501032375,0.0005597450501032377,0.031249999999999986
K200,CROSS_FAMILY_W10,BULL_2025,2025-10-17,-0.0021174026893391517,-0.0020986526893391395,0.006249999999999974
K200,CROSS_FAMILY_W10,BULL_2025,2025-10-31,0.00563445649064865,0.00555945649064865,-0.024999999999999974
K200,CROSS_FAMILY_W10,BULL_2025,2025-11-14,0.0007374646929336,0.0007187146929336241,-0.006249999999999974
K200,CROSS_FAMILY_W10,BULL_2025,2025-11-28,-0.000698123194048987,-0.0006981231940489625,0.0
K200,CROSS_FAMILY_W10,BULL_2025,2025-12-12,0.0005828674931205001,0.0005453674931205009,-0.0125
K200,CROSS_FAMILY_W10,BULL_2025,2025-12-29,0.0035782671362139876,0.0035782671362139876,1.214306433183765e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-01-04,0.0027127220222552626,0.0027127220222552626,0.0
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-01-18,-0.00048115773763341286,-0.000424907737633412,0.018749999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-02-01,-0.0007314285059717874,-0.0006564285059717874,0.024999999999999988
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-02-18,0.0017783093998499748,0.001815809399849973,0.0125
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-03-04,-0.0010477025031240125,-0.0010477025031240125,1.3010426069826053e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-03-18,9.439010150461176e-06,-4.68109898495387e-05,-0.018749999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-04-01,8.302934685476272e-05,8.302934685476272e-05,0.0
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-04-18,-0.005572137920931063,-0.005515887920931062,0.01874999999999999
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-05-02,-0.008204330691375425,-0.008279330691375425,-0.024999999999999974
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-05-18,0.0002594764801248627,0.0002407264801248628,-0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-06-01,0.001235426547270851,0.001272926547270851,0.012499999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-06-16,-7.059431139355e-05,-7.059431139354997e-05,-1.214306433183765e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-06-30,0.0026927390899335875,0.0027677390899335987,0.024999999999999974
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-07-14,0.0005498807257865001,0.0006248807257865001,0.024999999999999988
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-07-28,0.0017301966100312623,0.0017114466100312626,-0.00625
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-08-11,0.00146469847819275,0.0014459484781927626,-0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-08-26,0.00458113812903635,0.00454363812903635,-0.012500000000000016
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-09-09,-0.00010159099978478755,-8.28409997847882e-05,0.0062499999999999865
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-09-28,0.0013829758363603749,0.0013454758363603625,-0.012499999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-10-13,0.0012382555924737627,0.0013320055924737628,0.031249999999999962
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-10-27,-0.0012973858861610615,-0.0012036358861610616,0.031249999999999962
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-11-10,0.002193357324071675,0.0021746073240716634,-0.00625
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-11-24,0.0032201963365252623,0.0032389463365252624,0.00625
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-12-08,-0.0026842671870548375,-0.0027217671870548377,-0.012499999999999999
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2016-12-22,0.0014230988008243249,0.001385598800824325,-0.012499999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-01-06,0.0019865175073302704,0.001967767507330258,-0.006250000000000013
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-01-20,-0.0017140609449465252,-0.0016578109449465251,0.018749999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-02-07,-0.001371813321026338,-0.0014468133210263254,-0.025
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-02-21,0.001172996933694761,0.00113549693369475,-0.012499999999999973
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-03-08,0.0019855532435265498,0.0019855532435265498,0.0
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-03-22,-0.00168321320436675,-0.00172071320436675,-0.012499999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-04-05,-0.0010891079552337996,-0.0010328579552337995,0.01874999999999999
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-04-19,-0.0014446506957678626,-0.0014634006957678625,-0.00625
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-05-08,-0.00149077722325585,-0.0014157772232558626,0.024999999999999988
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-05-23,-0.000381136467798625,-0.000362386467798625,0.006249999999999974
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-06-07,-0.0014566910154176,-0.0015129410154175998,-0.018749999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-06-21,-0.001288636772569575,-0.0013261367725695753,-0.012499999999999976
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-07-05,-2.355453174746259e-05,1.3945468252531655e-05,0.012499999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-07-19,0.004734711393100837,0.004697211393100837,-0.0125
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-08-02,-0.0003225311417062996,-0.00028503114170628157,0.012499999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-08-17,9.79856440362258e-05,0.0001354856440362258,0.012499999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-08-31,-0.00036907841343687665,-0.0003503284134368891,0.0062499999999999865
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-09-14,0.0017455390201336998,0.0017080390201337,-0.012500000000000015
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-09-28,-0.0017515751666088248,-0.0018265751666088374,-0.024999999999999963
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-10-20,-0.001469404933958412,-0.0014506549339584,0.0062499999999999995
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-11-03,0.00027084799992871237,0.00021459799992871217,-0.018749999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-11-17,0.0014612572094294001,0.0014237572094294001,-0.012500000000000013
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-12-01,0.0006104032655590003,0.0006479032655589876,0.012499999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2017-12-15,-0.004479850289784985,-0.004498600289784984,-0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-01-03,0.0007959899536831374,0.0008147399536831373,0.00625
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-01-17,-0.0007378575158439948,-0.0007378575158439951,1.474514954580286e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-01-31,-0.0003936434780812624,-0.00037489347808124994,0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-02-14,0.0006392086602591126,0.0006392086602591125,-1.214306433183765e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-03-05,-0.002829503186538043,-0.002810753186538043,0.006249999999999988
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-03-19,-0.0003013468196560499,-0.0003200968196560499,-0.0062499999999999865
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-04-02,0.000750675559431701,0.0007694255594317011,0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-04-16,0.00038361483867766026,0.00038361483867766026,1.3010426069826053e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-04-30,0.0006074956016798999,0.0006074956016798874,0.0
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-05-16,-0.0017223706462685248,-0.001703620646268525,0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-05-31,0.001311547850581634,0.0013490478505816248,0.012499999999999997
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-06-18,-0.0009635764973375125,-0.0010385764973375,-0.024999999999999974
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-07-02,-0.001080941043987025,-0.000968441043987025,0.037499999999999964
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-07-16,0.0026531224861925124,0.0026343724861925006,-0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-07-30,-0.0001917374382981507,-4.1737438298174796e-05,0.049999999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-08-13,0.00015992320790291254,0.00019742320790292492,0.012500000000000015
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-08-28,0.003105698877619487,0.003143198877619487,0.0125
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-09-11,-0.002240372909505425,-0.0022216229095054375,0.006250000000000013
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-09-28,0.0003483841690523875,0.0003483841690523768,1.3010426069826053e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-10-16,-0.0005760956442679342,-0.0005573456442679392,0.006250000000000013
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-10-30,-0.0013257133288698876,-0.0013444633288698877,-0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-11-13,-0.003945076655785888,-0.0039638266557858876,-0.006249999999999999
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-11-27,0.000669554455074925,0.0006695544550749374,-1.3010426069826053e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-12-11,0.0008566563761548873,0.0008566563761548873,0.0
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2018-12-26,0.0025718406591334875,0.002553090659133487,-0.00625
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-01-11,0.0038501130394736874,0.0037938630394736875,-0.01874999999999999
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-01-25,-0.0007270169484156626,-0.000764516948415661,-0.012499999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-02-13,0.0008717694191000474,0.0009092694191000516,0.012499999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-02-27,0.0018436601068886496,0.0018436601068886496,1.3010426069826053e-17
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-03-14,0.00018803427750463752,0.00020678427750463752,0.00625
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-03-28,-0.004359573174536975,-0.004378323174536974,-0.006249999999999987
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-04-11,-0.0013256425155086624,-0.0013631425155086739,-0.0125
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-04-25,0.0018866793360268874,0.0017929293360268998,-0.031249999999999962
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-05-13,0.0001637714620671501,0.0001262714620671501,-0.012500000000000015
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-05-27,0.0021184457867376126,0.0020621957867376127,-0.018749999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-06-11,0.001380135204448,0.001286385204448,-0.031249999999999962
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-06-25,-0.00079012511774135,-0.0007901251177413633,8.673617379884035e-19
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-07-09,-0.0022763964442216377,-0.002351396444221625,-0.024999999999999988
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-07-23,0.005879467090692913,0.005841967090692912,-0.012499999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-08-06,-0.004266908728344038,-0.004304408728344038,-0.012499999999999975
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-08-21,-0.0020245508281344876,-0.0020058008281344875,0.006250000000000013
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-09-04,-0.002357452431468001,-0.002301202431468001,0.01874999999999999
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-09-20,-0.002155062389527175,-0.0020800623895271876,0.024999999999999988
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-10-07,0.0001315087531798125,0.00011275875317981251,-0.006250000000000014
K200,CROSS_FAMILY_W10,EARLY_2016_2019,2019-10-22,-0.0013097385350201232,-0.0013659885350201233,-0.018749999999999975
