universe,overlay,early,late,normal,same_sign,min_abs,bull_2025,ytd_2026
K200,CROSS_FAMILY_W10,-7.132363388184607e-05,0.00017239344116015036,0.0007593494826326747,False,7.132363388184607e-05,0.0015021532476403724,7.14101820295893e-05
K200,CROSS_FAMILY_W20,0.0002421873475364503,-0.000132675398043495,0.0007029961450016405,False,0.000132675398043495,0.0023836050626297907,0.002721614135340904
K200,FOUR_FAMILY_EW,-0.0003338733289349756,0.0002899276350247318,-0.000622787197068228,False,0.0002899276350247318,0.004979783479308492,0.008928977723523916
K200,SIBLING_W20,0.0001747845887633684,0.00012834830606560247,0.0004424814138800904,True,0.00012834830606560247,0.0015079720129082478,-0.000688544674342311
KOSDAQ,CROSS_FAMILY_W10,0.0002155486998985735,0.0003410720839258239,-0.00028363842897287075,False,0.0002155486998985735,0.0007250054201284324,0.0003623295151783881
KOSDAQ,CROSS_FAMILY_W20,0.0003908634626361734,0.0005684480117050664,0.00037873188870002805,True,0.00037873188870002805,0.00032608167939549037,0.005255574300738446
KOSDAQ,FOUR_FAMILY_EW,-0.0020105125603936277,7.526145813788308e-05,-0.0022495805679303453,False,7.526145813788308e-05,0.006501467171849486,0.003746016658437381
KOSDAQ,SIBLING_W20,-0.00012135037702925911,0.0005919210032653784,0.0022147132553770824,False,0.00012135037702925911,0.0015860389781234918,0.008108094926221656
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,0.0003375680154523633,0.00047523307565249586,0.0009506719673879873,True,0.0003375680154523633,0.002033868468982705,0.0009136493627646167
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,0.0008272190740603194,0.0017135792376692957,0.0009078730647387426,True,0.0008272190740603194,0.004295093875482437,0.004657222346670596
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,-5.8271296603266685e-05,0.0017253820924274588,-0.004458178855244093,False,5.8271296603266685e-05,0.007951998858251923,0.006686712342177893
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,0.00044164000397805886,0.0013348790482146853,0.0034003257102220067,True,0.00044164000397805886,0.0028844392278369966,0.013964836276536082
KOSPI_ALL,CROSS_FAMILY_W10,0.0002920689992975271,0.0005527970328112545,0.00014859616531175587,True,0.00014859616531175587,0.002747742665732209,0.0010783718681675815
KOSPI_ALL,CROSS_FAMILY_W20,0.0002599975323598326,0.0005712585720929226,0.00040508127134746935,True,0.0002599975323598326,0.0026009705886824914,0.0017615384422021197
KOSPI_ALL,FOUR_FAMILY_EW,-0.000846110722396909,-0.0044937096124881,-0.0011217295218216097,True,0.000846110722396909,0.009369880310712078,-0.0033649232007603508
KOSPI_ALL,SIBLING_W20,-0.0004994780019310917,0.0015347284236669125,0.0011678241201093739,False,0.0004994780019310917,0.00216985752425301,0.0006875250838305582
KOSPI_EX_K200,CROSS_FAMILY_W10,-1.1134922177882261e-05,0.00010219150863616452,8.376325565450781e-05,False,1.1134922177882261e-05,0.0004066691470754806,0.0018809743709557363
KOSPI_EX_K200,CROSS_FAMILY_W20,0.00035710313171601245,-3.171806094033017e-05,0.0008957521015644975,False,3.171806094033017e-05,0.0010679351931579672,0.0018849413686010963
KOSPI_EX_K200,FOUR_FAMILY_EW,-0.0022122839833023326,-0.004317906753907947,0.000535809665684389,False,0.000535809665684389,0.0013122543049407431,0.006305030199201011
KOSPI_EX_K200,SIBLING_W20,-0.00041543141726737795,0.0003955874818814111,0.0007842441118596933,False,0.0003955874818814111,0.0037002667705633655,0.0044839881774928715
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,0.0006885342492281824,0.0011850065016975175,-0.0007826546073557578,False,0.0006885342492281824,0.0031696623351784277,0.007607722997610747
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,0.0012947449748300266,0.0016918736453947903,0.0005811466660292208,True,0.0005811466660292208,0.004413957740483625,0.011044417068078034
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,-0.0001373027919289126,0.002249744662877481,-0.003370633687288764,False,0.0001373027919289126,0.00469564660967245,-0.0014126718067060994
KOSPI_KOSDAQ_ALL,SIBLING_W20,0.0006395524826672674,0.00278134147925145,0.0031438640460992456,True,0.0006395524826672674,0.00378944343449451,0.016012830193984164
