universe,overlay,sample,metric,n_dates,mean,ci025,ci975,p_gt0
KOSDAQ,CROSS_FAMILY_W10,BULL_2025,net_delta,25,0.0007250054201284378,-0.001282854877771978,0.0027271288803400284,0.7576
KOSDAQ,CROSS_FAMILY_W10,BULL_2025,gross_delta,25,0.0007730054201284328,-0.0012864259593413502,0.002790282460425486,0.772
KOSDAQ,CROSS_FAMILY_W10,EARLY_2016_2019,net_delta,98,0.00021554869989857186,-0.00020740574968335782,0.0006170139903179969,0.8392
KOSDAQ,CROSS_FAMILY_W10,EARLY_2016_2019,gross_delta,98,0.000219949210102652,-0.00021394628308055099,0.0006131276915871464,0.8476
KOSDAQ,CROSS_FAMILY_W10,LATE_2020_2022,net_delta,75,0.0003410720839258241,-0.0006665216919778965,0.0013536315336253046,0.7536
KOSDAQ,CROSS_FAMILY_W10,LATE_2020_2022,gross_delta,75,0.00037157208392582254,-0.0006063977120667172,0.0013238898237516274,0.7676
KOSDAQ,CROSS_FAMILY_W10,NORMAL_2023_2024,net_delta,48,-0.00028363842897286944,-0.0019368980632940799,0.001287053277325512,0.392
KOSDAQ,CROSS_FAMILY_W10,NORMAL_2023_2024,gross_delta,48,-0.0002473103039728705,-0.0018830755932960058,0.0012381917204157022,0.3704
KOSDAQ,CROSS_FAMILY_W10,YTD_2026,net_delta,13,0.0003623295151783865,-0.0033738942865159374,0.003956714737950273,0.5742
KOSDAQ,CROSS_FAMILY_W10,YTD_2026,gross_delta,13,0.00041713720748608294,-0.0032837301417462197,0.004122261245633589,0.5798
KOSDAQ,CROSS_FAMILY_W20,BULL_2025,net_delta,25,0.0003260816793954927,-0.002168306107567947,0.0028905319922328016,0.566
KOSDAQ,CROSS_FAMILY_W20,BULL_2025,gross_delta,25,0.000425831679395491,-0.0019955466434224624,0.0032058910714947973,0.6138
KOSDAQ,CROSS_FAMILY_W20,EARLY_2016_2019,net_delta,98,0.00039086346263616806,-0.0002537679844551476,0.0010335724637431762,0.8764
KOSDAQ,CROSS_FAMILY_W20,EARLY_2016_2019,gross_delta,98,0.00042511091161575996,-0.0002394149920515834,0.0010779988636127767,0.8966
KOSDAQ,CROSS_FAMILY_W20,LATE_2020_2022,net_delta,75,0.0005684480117050632,-0.0011467026107999027,0.002343506199674736,0.7286
KOSDAQ,CROSS_FAMILY_W20,LATE_2020_2022,gross_delta,75,0.0006616980117050611,-0.0010687760951745505,0.0024153088504788997,0.776
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,net_delta,48,0.0003787318887000237,-0.0016263952555000604,0.002433914975161621,0.6448
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,gross_delta,48,0.00048420063870002343,-0.0016095733880124928,0.002540824079590501,0.672
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,net_delta,13,0.005255574300738439,-0.004081210039609062,0.014155426767516858,0.862
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,gross_delta,13,0.005412785839199978,-0.004309781339912384,0.013847198964546505,0.8696
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,net_delta,25,0.006501467171849483,-0.008732700232712226,0.020543128754360172,0.8076
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,gross_delta,25,0.007191467171849482,-0.0069546054681878175,0.021732104498338664,0.835
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,net_delta,98,-0.002010512560393626,-0.005285843790876466,0.0013339615834829898,0.1192
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,gross_delta,98,-0.0015392753154956677,-0.004884687247551787,0.0016608534135122812,0.1706
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,net_delta,75,7.526145813788427e-05,-0.006318666761801801,0.006736546211195246,0.5066
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,gross_delta,75,0.000664761458137883,-0.006011574748585719,0.00751654663248352,0.585
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,net_delta,48,-0.002249580567930344,-0.009712060927181874,0.005828671069917784,0.2794
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,gross_delta,48,-0.0015773149429303432,-0.008751482472637852,0.006521956416595822,0.339
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,net_delta,13,0.003746016658437382,-0.010583809000484489,0.01901116083532959,0.6838
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,gross_delta,13,0.004454189735360458,-0.009172888678426446,0.01950774346337498,0.722
KOSDAQ,SIBLING_W20,BULL_2025,net_delta,25,0.001586038978123488,-0.0026006929227609375,0.005502310302304745,0.773
KOSDAQ,SIBLING_W20,BULL_2025,gross_delta,25,0.0016887889781234875,-0.0023039172165839257,0.0056236339181985175,0.791
KOSDAQ,SIBLING_W20,EARLY_2016_2019,net_delta,98,-0.00012135037702925895,-0.0012527531896621646,0.0009604530224654099,0.417
KOSDAQ,SIBLING_W20,EARLY_2016_2019,gross_delta,98,-5.419476478436092e-05,-0.0011163492028259143,0.0009938171818788548,0.4686
KOSDAQ,SIBLING_W20,LATE_2020_2022,net_delta,75,0.0005919210032653791,-0.0011561541473518115,0.0024013830269048256,0.735
KOSDAQ,SIBLING_W20,LATE_2020_2022,gross_delta,75,0.0007049210032653786,-0.0011567755142391722,0.002481069770145987,0.7678
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,net_delta,48,0.00221471325537708,-0.0005116054291323055,0.004851595771410599,0.9448
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,gross_delta,48,0.0023358070053770804,-0.00027260448521359486,0.004883394754768762,0.958
KOSDAQ,SIBLING_W20,YTD_2026,net_delta,13,0.008108094926221656,0.0011027610497192125,0.016540676857366873,0.9932
KOSDAQ,SIBLING_W20,YTD_2026,gross_delta,13,0.008223479541606269,0.0014025008361230817,0.01641993405740476,0.9974
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,net_delta,25,0.0020338684689826976,-0.0010854125738231604,0.005224945316921212,0.8902
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,gross_delta,25,0.0020961184689826965,-0.0010934104012618015,0.005396032795443056,0.8992
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,net_delta,98,0.0003375680154523627,-0.0002191874116901873,0.0008981566482649578,0.8872
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,gross_delta,98,0.00037009352565644296,-0.00017866653680757288,0.0009475998741537479,0.902
