threshold_bn,median_jaccard,median_precision,median_recall,median_factor_only,median_eligible_only,mean_jaccard
150,0.6722532588454376,0.9974259974259975,0.673828125,2.0,317.0,0.6742810099764364
175,0.7552155771905424,0.9973821989528796,0.757085020242915,2.0,210.0,0.7568524632149319
200,0.835632183908046,0.99734395750332,0.8376470588235294,2.0,124.0,0.8361143551361054
225,0.912396694214876,0.9970457902511078,0.9151103565365025,2.0,57.0,0.9132793336250379
250,0.9734904270986745,0.9876543209876543,0.9884393063583815,8.0,7.0,0.9707935127957925
275,0.920892494929006,0.9221556886227545,0.9984152139461173,49.0,1.0,0.9186759565087276
300,0.8603696098562629,0.8614072494669509,1.0,89.0,0.0,0.8581713984501391
325,0.8055555555555556,0.8056603773584906,1.0,123.0,0.0,0.8048502981445642
350,0.7567901234567901,0.7568862275449102,1.0,152.0,0.0,0.7568715812567604
