date,threshold_bn,factor_rows,eligible,jaccard,precision,recall,factor_only,eligible_only
2016-01-04,150,664,703,0.3934760448521916,0.5813253012048193,0.5490753911806543,278,317
2016-01-04,175,664,623,0.39436619718309857,0.5481927710843374,0.5842696629213483,300,259
2016-01-04,200,664,551,0.4046242774566474,0.5271084337349398,0.6352087114337568,314,201
2016-01-04,225,664,515,0.40190249702734837,0.5090361445783133,0.6563106796116505,326,177
2016-01-04,250,664,473,0.4002463054187192,0.4894578313253012,0.6871035940803383,339,148
2016-01-04,275,664,447,0.4027777777777778,0.48042168674698793,0.7136465324384788,345,128
2016-01-04,300,664,412,0.4028683181225554,0.46536144578313254,0.75,355,103
2016-01-04,325,664,384,0.38992042440318303,0.4427710843373494,0.765625,370,90
2016-01-04,350,664,364,0.3891891891891892,0.43373493975903615,0.7912087912087912,376,76
2016-01-11,150,474,688,0.6865021770682148,0.9978902953586498,0.6875,1,215
2016-01-11,175,474,610,0.7741407528641571,0.9978902953586498,0.7754098360655738,1,137
2016-01-11,200,474,547,0.8631386861313869,0.9978902953586498,0.8647166361974405,1,74
2016-01-11,225,474,502,0.9403578528827038,0.9978902953586498,0.9422310756972112,1,29
2016-01-11,250,474,467,0.9727463312368972,0.9789029535864979,0.9935760171306209,10,3
2016-01-11,275,474,437,0.9178947368421052,0.919831223628692,0.9977116704805492,38,1
2016-01-11,300,474,412,0.869198312236287,0.869198312236287,1.0,62,0
2016-01-11,325,474,386,0.8143459915611815,0.8143459915611815,1.0,88,0
2016-01-11,350,474,366,0.7721518987341772,0.7721518987341772,1.0,108,0
2016-01-18,150,471,683,0.6871345029239766,0.9978768577494692,0.6881405563689604,1,213
2016-01-18,175,471,611,0.7679738562091504,0.9978768577494692,0.7692307692307693,1,141
2016-01-18,200,471,550,0.852994555353902,0.9978768577494692,0.8545454545454545,1,80
2016-01-18,225,471,502,0.9343936381709742,0.9978768577494692,0.9362549800796812,1,32
2016-01-18,250,471,468,0.9768421052631578,0.9851380042462845,0.9914529914529915,7,4
2016-01-18,275,471,434,0.921443736730361,0.921443736730361,1.0,37,0
2016-01-18,300,471,414,0.8789808917197452,0.8789808917197452,1.0,57,0
2016-01-18,325,471,386,0.8195329087048833,0.8195329087048833,1.0,85,0
2016-01-18,350,471,366,0.7770700636942676,0.7770700636942676,1.0,105,0
2016-01-25,150,456,683,0.6652046783625731,0.9978070175438597,0.6661786237188873,1,228
2016-01-25,175,456,611,0.7434640522875817,0.9978070175438597,0.7446808510638298,1,156
2016-01-25,200,456,548,0.8287795992714025,0.9978070175438597,0.8302919708029197,1,93
2016-01-25,225,456,503,0.9027777777777778,0.9978070175438597,0.904572564612326,1,48
2016-01-25,250,456,466,0.974304068522484,0.9978070175438597,0.9763948497854077,1,11
2016-01-25,275,456,437,0.9540481400437637,0.956140350877193,0.9977116704805492,20,1
2016-01-25,300,456,412,0.9035087719298246,0.9035087719298246,1.0,44,0
2016-01-25,325,456,386,0.8464912280701754,0.8464912280701754,1.0,70,0
2016-01-25,350,456,366,0.8026315789473685,0.8026315789473685,1.0,90,0
2016-02-01,150,463,685,0.673469387755102,0.9978401727861771,0.6744525547445256,1,223
2016-02-01,175,463,614,0.751219512195122,0.9978401727861771,0.752442996742671,1,152
2016-02-01,200,463,555,0.8309352517985612,0.9978401727861771,0.8324324324324325,1,93
2016-02-01,225,463,506,0.9112426035502958,0.9978401727861771,0.9130434782608695,1,44
2016-02-01,250,463,468,0.972457627118644,0.9913606911447084,0.9807692307692307,4,9
2016-02-01,275,463,436,0.9333333333333333,0.937365010799136,0.9954128440366973,29,2
2016-02-01,300,463,414,0.886021505376344,0.8898488120950324,0.9951690821256038,51,2
2016-02-01,325,463,389,0.8362068965517241,0.838012958963283,0.9974293059125964,75,1
2016-02-01,350,463,367,0.7926565874730022,0.7926565874730022,1.0,96,0
2016-02-11,150,473,672,0.7013372956909361,0.9978858350951374,0.7023809523809523,1,200
2016-02-11,175,473,586,0.8040885860306644,0.9978858350951374,0.8054607508532423,1,114
2016-02-11,200,473,538,0.87569573283859,0.9978858350951374,0.8773234200743495,1,66
2016-02-11,225,473,491,0.9553752535496958,0.9957716701902748,0.9592668024439919,2,20
2016-02-11,250,473,452,0.9514767932489452,0.9534883720930233,0.9977876106194691,22,1
2016-02-11,275,473,426,0.9006342494714588,0.9006342494714588,1.0,47,0
2016-02-11,300,473,401,0.8477801268498943,0.8477801268498943,1.0,72,0
2016-02-11,325,473,381,0.8054968287526427,0.8054968287526427,1.0,92,0
2016-02-11,350,473,354,0.7484143763213531,0.7484143763213531,1.0,119,0
2016-02-18,150,458,678,0.6705882352941176,0.9956331877729258,0.672566371681416,2,222
2016-02-18,175,458,595,0.7638190954773869,0.9956331877729258,0.7663865546218488,2,139
