universe,weighted_all8_coverage,median_daily_all8_coverage,p10_daily_all8_coverage,p90_daily_all8_coverage,sampled_eligible_obs,sampled_valid_all8_obs
K200,0.8550094200968642,0.8542713567839196,0.828125,0.88,101379,86680
KOSPI_EX_K200,0.15496187443193252,0.15636363636363637,0.13321799307958476,0.1744186046511628,288258,44669
KOSDAQ,0.0930857091541978,0.09261083743842365,0.07961783439490445,0.10872675250357654,701547,65304
KOSPI_ALL,0.33710607565503276,0.3371794871794872,0.3162162162162162,0.3588652482269504,389637,131349
KOSPI_KOSDAQ_ALL,0.18021983460168037,0.17938144329896907,0.16428279525950143,0.2037351443123939,1091184,196653
KOSDAQ_PLUS_KOSPI_EX_K200,0.11110572284439864,0.1112214498510427,0.09974424552429667,0.12562814070351758,989805,109973
