factor,sampled_files,median_rows,p10_rows,p90_rows,weighted_blank_rate,files_with_nonnumeric_nonblank,files_with_duplicate_code_rows,median_rank_corr_vs_prev_5d_sample,median_unchanged_share_vs_prev_5d_sample
FOREIGN_FLOW,521,664.0,492.0,823.0,0.017071753284107368,0,0,0.776489434333911,0.007554772576803367
MOM12_1,521,664.0,492.0,823.0,0.013811983562500553,0,0,0.9675591566080379,0.004511278195488722
MOM1M,521,664.0,492.0,823.0,0.013811983562500553,0,0,0.7245467950476965,0.008168826113551688
OP12_REV,521,664.0,492.0,823.0,0.39918756508476877,0,0,0.8007405711020497,0.29396604002425714
OPFY1_REV,521,664.0,492.0,823.0,0.38128095674978835,0,0,0.8132351569279822,0.3504889114554329
PBR12MF,521,664.0,492.0,823.0,0.3766523787468914,0,0,0.9979058354975856,0.006629842348942155
PER12MF,521,664.0,492.0,823.0,0.39582454473849565,0,0,0.9940981103355274,0.01231534564867898
PRIVATE_FLOW,521,664.0,492.0,823.0,0.017071753284107368,0,0,0.7225134551453551,0.05202820836126202
