factor,universe,weighted_coverage,median_daily_coverage,p10_daily_coverage,p90_daily_coverage,sampled_eligible_obs,sampled_valid_obs
MOM1M,K200,0.9970901271466477,1.0,0.9896907216494846,1.0,101379,101084
MOM1M,KOSPI_EX_K200,0.3319769095740621,0.3242320819112628,0.2657200811359026,0.415929203539823,288258,95695
MOM1M,KOSDAQ,0.19479949312020434,0.1858573216520651,0.1470888661899898,0.2547501759324419,701547,136661
MOM1M,KOSPI_ALL,0.5050316063412869,0.4980443285528031,0.4587280108254398,0.5652173913043478,389637,196779
MOM1M,KOSPI_KOSDAQ_ALL,0.3055763280986525,0.2978841870824053,0.26623725174449814,0.3623322535863026,1091184,333440
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,0.23474926879536878,0.2249539028887523,0.18487394957983194,0.29973474801061006,989805,232356
MOM12_1,K200,0.9970901271466477,1.0,0.9896907216494846,1.0,101379,101084
MOM12_1,KOSPI_EX_K200,0.3319769095740621,0.3242320819112628,0.2657200811359026,0.415929203539823,288258,95695
MOM12_1,KOSDAQ,0.19479949312020434,0.1858573216520651,0.1470888661899898,0.2547501759324419,701547,136661
MOM12_1,KOSPI_ALL,0.5050316063412869,0.4980443285528031,0.4587280108254398,0.5652173913043478,389637,196779
MOM12_1,KOSPI_KOSDAQ_ALL,0.3055763280986525,0.2978841870824053,0.26623725174449814,0.3623322535863026,1091184,333440
MOM12_1,KOSDAQ_PLUS_KOSPI_EX_K200,0.23474926879536878,0.2249539028887523,0.18487394957983194,0.29973474801061006,989805,232356
OP12_REV,K200,0.8807445328914272,0.8802083333333334,0.8556701030927835,0.9052631578947369,101379,89289
OP12_REV,KOSPI_EX_K200,0.16084549257956415,0.16161616161616163,0.1408695652173913,0.1813380281690141,288258,46365
OP12_REV,KOSDAQ,0.09693007025901329,0.09612983770287141,0.08328192473781616,0.11284335560504825,701547,68001
OP12_REV,KOSPI_ALL,0.3481548210257239,0.3493810178817056,0.330567081604426,0.3664688427299703,389637,135654
OP12_REV,KOSPI_KOSDAQ_ALL,0.18663671754717812,0.18648507071765322,0.1705012325390304,0.20903614457831327,1091184,203655
OP12_REV,KOSDAQ_PLUS_KOSPI_EX_K200,0.11554397078212375,0.11599176389842142,0.10350776308223117,0.13021101389603706,989805,114366
OPFY1_REV,K200,0.8826581441915978,0.8814432989690721,0.859375,0.9086294416243654,101379,89483
OPFY1_REV,KOSPI_EX_K200,0.16610120100743084,0.16733067729083664,0.1444043321299639,0.18719211822660098,288258,47880
OPFY1_REV,KOSDAQ,0.10314205605611598,0.10193204530313124,0.0868824531516184,0.12088698140200287,701547,72359
OPFY1_REV,KOSPI_ALL,0.35254095478612146,0.35432098765432096,0.33288770053475936,0.3702127659574468,389637,137363
OPFY1_REV,KOSPI_KOSDAQ_ALL,0.19219673308992802,0.1917750734368443,0.17586912065439672,0.21483679525222552,1091184,209722
OPFY1_REV,KOSDAQ_PLUS_KOSPI_EX_K200,0.12147746273255844,0.12131802296555168,0.1081447963800905,0.1375770020533881,989805,120239
PBR12MF,K200,0.8898292545793508,0.8911917098445595,0.8645833333333334,0.9179487179487179,101379,90210
PBR12MF,KOSPI_EX_K200,0.1701461884839276,0.170873786407767,0.14766355140186915,0.19257950530035337,288258,49046
PBR12MF,KOSDAQ,0.10267594330814614,0.1023454157782516,0.08702791461412152,0.12003000750187547,701547,72032
PBR12MF,KOSPI_ALL,0.3573993229595752,0.3586550435865504,0.33766233766233766,0.376056338028169,389637,139256
PBR12MF,KOSPI_KOSDAQ_ALL,0.19363187143506502,0.1929097605893186,0.17689822294022617,0.21669037458511142,1091184,211288
PBR12MF,KOSDAQ_PLUS_KOSPI_EX_K200,0.12232510443976338,0.1220472440944882,0.10808435852372583,0.13887204366282596,989805,121078
PER12MF,K200,0.8658006095937029,0.868421052631579,0.8385416666666666,0.89,101379,87774
PER12MF,KOSPI_EX_K200,0.16507434312317437,0.16701461377870563,0.14166666666666666,0.18518518518518517,288258,47584
