factor,universe,weighted_coverage,median_daily_coverage,p10_daily_coverage,p90_daily_coverage,sampled_eligible_obs,sampled_valid_obs
PER12MF,KOSDAQ,0.09898980396181581,0.09873417721518987,0.08376068376068375,0.11608497723823975,701547,69446
PER12MF,KOSPI_ALL,0.34739513957863344,0.34814814814814815,0.3265044814340589,0.3709449929478138,389637,135358
PER12MF,KOSPI_KOSDAQ_ALL,0.18768970219504685,0.1859633437639696,0.17124901806755696,0.21172638436482086,1091184,204804
PER12MF,KOSDAQ_PLUS_KOSPI_EX_K200,0.11823541000500098,0.11745619727449708,0.10451170759565963,0.13460356484326982,989805,117030
PRIVATE_FLOW,K200,0.9966561122125884,1.0,0.9896373056994818,1.0,101379,101040
PRIVATE_FLOW,KOSPI_EX_K200,0.33080781799637826,0.3229571984435798,0.26425855513307983,0.41475409836065574,288258,95358
PRIVATE_FLOW,KOSDAQ,0.1937717644006745,0.18523153942428036,0.14634146341463414,0.25334323922734026,701547,135940
PRIVATE_FLOW,KOSPI_ALL,0.5040537731272954,0.49746835443037973,0.4580467675378267,0.56282722513089,389637,196398
PRIVATE_FLOW,KOSPI_KOSDAQ_ALL,0.30456641592985234,0.29673590504451036,0.26568825910931176,0.3604385564184559,1091184,332338
PRIVATE_FLOW,KOSDAQ_PLUS_KOSPI_EX_K200,0.23368037138628317,0.22426868905742145,0.18460680423870607,0.29821882951653944,989805,231298
FOREIGN_FLOW,K200,0.9966561122125884,1.0,0.9896373056994818,1.0,101379,101040
FOREIGN_FLOW,KOSPI_EX_K200,0.33080781799637826,0.3229571984435798,0.26425855513307983,0.41475409836065574,288258,95358
FOREIGN_FLOW,KOSDAQ,0.1937717644006745,0.18523153942428036,0.14634146341463414,0.25334323922734026,701547,135940
FOREIGN_FLOW,KOSPI_ALL,0.5040537731272954,0.49746835443037973,0.4580467675378267,0.56282722513089,389637,196398
FOREIGN_FLOW,KOSPI_KOSDAQ_ALL,0.30456641592985234,0.29673590504451036,0.26568825910931176,0.3604385564184559,1091184,332338
FOREIGN_FLOW,KOSDAQ_PLUS_KOSPI_EX_K200,0.23368037138628317,0.22426868905742145,0.18460680423870607,0.29821882951653944,989805,231298
