date,universe,eligible,valid_all8,coverage
2019-09-20,K200,192,163,0.8489583333333334
2019-09-20,KOSPI_EX_K200,535,74,0.1383177570093458
2019-09-20,KOSDAQ,1213,111,0.09150865622423743
2019-09-20,KOSPI_ALL,727,237,0.32599724896836313
2019-09-20,KOSPI_KOSDAQ_ALL,1940,348,0.17938144329896907
2019-09-20,KOSDAQ_PLUS_KOSPI_EX_K200,1748,185,0.10583524027459955
2019-09-27,K200,192,162,0.84375
2019-09-27,KOSPI_EX_K200,535,74,0.1383177570093458
2019-09-27,KOSDAQ,1213,107,0.08821104699093157
2019-09-27,KOSPI_ALL,727,236,0.3246217331499312
2019-09-27,KOSPI_KOSDAQ_ALL,1940,343,0.17680412371134022
2019-09-27,KOSDAQ_PLUS_KOSPI_EX_K200,1748,181,0.10354691075514874
2019-10-07,K200,192,166,0.8645833333333334
2019-10-07,KOSPI_EX_K200,535,72,0.13457943925233645
2019-10-07,KOSDAQ,1214,107,0.08813838550247118
2019-10-07,KOSPI_ALL,727,238,0.32737276478679506
2019-10-07,KOSPI_KOSDAQ_ALL,1941,345,0.1777434312210201
2019-10-07,KOSDAQ_PLUS_KOSPI_EX_K200,1749,179,0.10234419668381932
2019-10-15,K200,192,167,0.8697916666666666
2019-10-15,KOSPI_EX_K200,535,72,0.13457943925233645
2019-10-15,KOSDAQ,1216,104,0.08552631578947369
2019-10-15,KOSPI_ALL,727,239,0.328748280605227
2019-10-15,KOSPI_KOSDAQ_ALL,1943,343,0.17653113741636645
2019-10-15,KOSDAQ_PLUS_KOSPI_EX_K200,1751,176,0.10051399200456881
2019-10-22,K200,192,167,0.8697916666666666
2019-10-22,KOSPI_EX_K200,538,74,0.137546468401487
2019-10-22,KOSDAQ,1218,103,0.08456486042692939
2019-10-22,KOSPI_ALL,730,241,0.33013698630136984
2019-10-22,KOSPI_KOSDAQ_ALL,1948,344,0.17659137577002054
2019-10-22,KOSDAQ_PLUS_KOSPI_EX_K200,1756,177,0.10079726651480637
2019-10-29,K200,192,163,0.8489583333333334
2019-10-29,KOSPI_EX_K200,538,74,0.137546468401487
2019-10-29,KOSDAQ,1222,100,0.08183306055646482
2019-10-29,KOSPI_ALL,730,237,0.32465753424657534
2019-10-29,KOSPI_KOSDAQ_ALL,1952,337,0.1726434426229508
2019-10-29,KOSDAQ_PLUS_KOSPI_EX_K200,1760,174,0.09886363636363636
2019-11-05,K200,192,164,0.8541666666666666
2019-11-05,KOSPI_EX_K200,539,79,0.14656771799628943
2019-11-05,KOSDAQ,1225,95,0.07755102040816327
2019-11-05,KOSPI_ALL,731,243,0.332421340629275
2019-11-05,KOSPI_KOSDAQ_ALL,1956,338,0.17280163599182005
2019-11-05,KOSDAQ_PLUS_KOSPI_EX_K200,1764,174,0.09863945578231292
2019-11-12,K200,192,163,0.8489583333333334
2019-11-12,KOSPI_EX_K200,540,76,0.14074074074074075
2019-11-12,KOSDAQ,1228,99,0.08061889250814332
2019-11-12,KOSPI_ALL,732,239,0.32650273224043713
2019-11-12,KOSPI_KOSDAQ_ALL,1960,338,0.17244897959183675
2019-11-12,KOSDAQ_PLUS_KOSPI_EX_K200,1768,175,0.09898190045248868
2019-11-19,K200,192,163,0.8489583333333334
2019-11-19,KOSPI_EX_K200,542,75,0.13837638376383765
2019-11-19,KOSDAQ,1230,97,0.07886178861788617
2019-11-19,KOSPI_ALL,734,238,0.3242506811989101
2019-11-19,KOSPI_KOSDAQ_ALL,1964,335,0.1705702647657841
2019-11-19,KOSDAQ_PLUS_KOSPI_EX_K200,1772,172,0.09706546275395034
2019-11-26,K200,192,162,0.84375
2019-11-26,KOSPI_EX_K200,543,75,0.13812154696132597
2019-11-26,KOSDAQ,1234,99,0.08022690437601297
2019-11-26,KOSPI_ALL,735,237,0.3224489795918367
2019-11-26,KOSPI_KOSDAQ_ALL,1969,336,0.1706449974606399
2019-11-26,KOSDAQ_PLUS_KOSPI_EX_K200,1777,174,0.09791783905458638
2019-12-03,K200,192,164,0.8541666666666666
2019-12-03,KOSPI_EX_K200,543,77,0.141804788213628
2019-12-03,KOSDAQ,1236,96,0.07766990291262135
2019-12-03,KOSPI_ALL,735,241,0.32789115646258504
2019-12-03,KOSPI_KOSDAQ_ALL,1971,337,0.17097919837645864
2019-12-03,KOSDAQ_PLUS_KOSPI_EX_K200,1779,173,0.09724564362001124
2019-12-10,K200,192,161,0.8385416666666666
2019-12-10,KOSPI_EX_K200,543,79,0.14548802946593
2019-12-10,KOSDAQ,1239,99,0.07990314769975787
2019-12-10,KOSPI_ALL,735,240,0.32653061224489793
2019-12-10,KOSPI_KOSDAQ_ALL,1974,339,0.1717325227963526
2019-12-10,KOSDAQ_PLUS_KOSPI_EX_K200,1782,178,0.09988776655443322
2019-12-17,K200,192,161,0.8385416666666666
2019-12-17,KOSPI_EX_K200,543,80,0.14732965009208104
2019-12-17,KOSDAQ,1241,103,0.08299758259468171
2019-12-17,KOSPI_ALL,735,241,0.32789115646258504
2019-12-17,KOSPI_KOSDAQ_ALL,1976,344,0.17408906882591094
2019-12-17,KOSDAQ_PLUS_KOSPI_EX_K200,1784,183,0.10257847533632287
2019-12-24,K200,192,164,0.8541666666666666
2019-12-24,KOSPI_EX_K200,543,78,0.143646408839779
2019-12-24,KOSDAQ,1247,106,0.08500400962309543
2019-12-24,KOSPI_ALL,735,242,0.3292517006802721
2019-12-24,KOSPI_KOSDAQ_ALL,1982,348,0.17558022199798184
2019-12-24,KOSDAQ_PLUS_KOSPI_EX_K200,1790,184,0.10279329608938548
2020-01-03,K200,192,163,0.8489583333333334
2020-01-03,KOSPI_EX_K200,543,76,0.13996316758747698
2020-01-03,KOSDAQ,1250,108,0.0864
2020-01-03,KOSPI_ALL,735,239,0.3251700680272109
2020-01-03,KOSPI_KOSDAQ_ALL,1985,347,0.1748110831234257
2020-01-03,KOSDAQ_PLUS_KOSPI_EX_K200,1793,184,0.10262130507529281
2020-01-10,K200,192,164,0.8541666666666666
2020-01-10,KOSPI_EX_K200,543,76,0.13996316758747698
2020-01-10,KOSDAQ,1250,107,0.0856
2020-01-10,KOSPI_ALL,735,240,0.32653061224489793
2020-01-10,KOSPI_KOSDAQ_ALL,1985,347,0.1748110831234257
2020-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,1793,183,0.10206358059118795
2020-01-17,K200,192,164,0.8541666666666666
2020-01-17,KOSPI_EX_K200,543,78,0.143646408839779
2020-01-17,KOSDAQ,1250,115,0.092
2020-01-17,KOSPI_ALL,735,242,0.3292517006802721
2020-01-17,KOSPI_KOSDAQ_ALL,1985,357,0.17984886649874054
2020-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,1793,193,0.10764082543223648
2020-01-28,K200,192,162,0.84375
2020-01-28,KOSPI_EX_K200,544,77,0.14154411764705882
2020-01-28,KOSDAQ,1250,112,0.0896
2020-01-28,KOSPI_ALL,736,239,0.32472826086956524
