sample,universe,factor,direction,overlay,top_n,cost_bps,state,high_minus_low,low_uplift,high_uplift
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,0.057640541506004825,-0.10809774546834786,-0.05045720396234303
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,-0.044772774997362125,0.12013275817773025,0.07535998318036813
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,0.1545719316777641,-0.14597206373292476,0.008599867944839325
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,0.04056439533318312,0.040717753554798175,0.0812821488879813
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,0.08124716438350651,-0.12478984276341576,-0.043542678379909244
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,0.13627402943366684,-0.006125610811871487,0.13014841862179535
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,0.24260580556804479,-0.21086991078710415,0.031735894780940646
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,0.01234724749534814,-0.038583386172005456,-0.026236138676657316
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,0.04554503068388155,-0.12097389366475833,-0.07542886298087678
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,-0.1011677411619087,0.11505680194657872,0.013889060784670023
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,0.05975648334822671,-0.09203866606591707,-0.03228218271769036
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,0.08957012509813934,0.021468740162122954,0.1110388652602623
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,0.11145348300846328,-0.12932608279793192,-0.017872599789468653
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,-0.0429835787663021,0.07051105635758732,0.02752747759128522
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_REL_ACT5,-0.09468674270672693,-0.010503691678206433,-0.10519043438493336
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_REL_ACT5,0.23111968440648792,-0.039777297194043354,0.19134238721244456
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT1,0.056844752032320645,-0.11592300862624261,-0.05907825659392196
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT1,-0.0425992749973622,0.11181675817773032,0.06921748318036812
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT5,0.1549698264146062,-0.15512364268029316,-0.0001538162656869762
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT5,0.043206989927777786,0.03214975355479818,0.07535674348257597
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT1_BREADTH,0.08258720068114715,-0.13447194802657364,-0.05188474734542649
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT1_BREADTH,0.13880398990797516,-0.013914701720962378,0.12488928818701277
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT5_BREADTH,0.2422079108312027,-0.22002148973447255,0.022186421096730136
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,MKT_ACT5_BREADTH,0.013423974768075442,-0.04538738617200544,-0.03196341140393
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,KOSDAQ_TA_SHARE,0.04726924121019735,-0.12972757787528466,-0.08245833666508731
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,KOSDAQ_TA_SHARE,-0.10096821037011988,0.10798454388206269,0.007016333511942805
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,FACTOR_TOP_ACT5_BREADTH,0.061558733348226695,-0.10172491606591705,-0.04016618271769035
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,FACTOR_TOP_ACT5_BREADTH,0.09064768165922532,0.0145757989856524,0.10522348064487771
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,FACTOR_TOP_TA_SHARE,0.11012716721898957,-0.13728397753477403,-0.027156810315784458
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,FACTOR_TOP_TA_SHARE,-0.038806949195554885,0.061839291651705,0.02303234245615012
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,FACTOR_TOP_REL_ACT5,-0.09070779533830592,-0.02164474430978538,-0.11235253964809129
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,FACTOR_TOP_REL_ACT5,0.23450593440648793,-0.04757354719404333,0.1869323872124446
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT1,0.05604896255863635,-0.1237482717841373,-0.06769930922550095
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT1,-0.04042577499736215,0.10350075817773023,0.06307498318036808
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT5,0.15536772115144828,-0.1642752216276616,-0.008907500476213314
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT5,0.045849584522372346,0.023581753554798142,0.06943133807717049
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT1_BREADTH,0.08392723697878783,-0.14415405328973155,-0.06022681631094372
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT1_BREADTH,0.14133395038228347,-0.02170379263005334,0.11963015775223014
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT5_BREADTH,0.24181001609436062,-0.229173068681841,0.012636947412519603
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,MKT_ACT5_BREADTH,0.014500702040802692,-0.05219138617200545,-0.03769068413120276
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,KOSDAQ_TA_SHARE,0.04899345173651312,-0.13848126208581096,-0.08948781034929784
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,KOSDAQ_TA_SHARE,-0.10076867957833095,0.10091228581754645,0.00014360623921549304
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,FACTOR_TOP_ACT5_BREADTH,0.06336098334822668,-0.11141116606591703,-0.048050182717690355
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,FACTOR_TOP_ACT5_BREADTH,0.09172523822031131,0.007682857809181758,0.09940809602949306
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,FACTOR_TOP_TA_SHARE,0.10880085142951594,-0.14524187227161617,-0.03644102084210023
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,FACTOR_TOP_TA_SHARE,-0.034630319624807615,0.05316752694582257,0.018537207321014958
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,FACTOR_TOP_REL_ACT5,-0.08672884796988489,-0.03278579694136433,-0.11951464491124922
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,FACTOR_TOP_REL_ACT5,0.23789218440648788,-0.05536979719404337,0.18252238721244451
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT1,-0.04318884303834185,0.030897477224741843,-0.012291365813600009
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT1,0.03587925987641522,-0.0048314036527769425,0.031047856223638277
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT5,-0.04247719352519067,0.030999379875010946,-0.011477813650179724
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT5,0.1825105256239835,-0.1256988756714008,0.0568116499525827
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT1_BREADTH,-0.007613723067771246,-0.022950313714334033,-0.03056403678210528
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT1_BREADTH,0.07002775782250292,-0.01660057041427763,0.053427187408225295
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT5_BREADTH,-0.03502724903279471,0.013819366148645294,-0.02120788288414941
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,MKT_ACT5_BREADTH,0.08908649535114,-0.05671412731676696,0.03237236803437304
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,KOSDAQ_TA_SHARE,0.06160174320675453,-0.058579792426386876,0.0030219507803676583
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,KOSDAQ_TA_SHARE,-0.020145268702899292,0.02862727383407402,0.008482005131174728
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,FACTOR_TOP_ACT5_BREADTH,-0.0006737554454053101,0.0012711401992852212,0.000597384753879911
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,FACTOR_TOP_ACT5_BREADTH,0.0902002589392405,-0.055406571361871895,0.03479368757736861
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,FACTOR_TOP_TA_SHARE,0.015577302588688287,-0.012525697518821207,0.003051605069867079
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,FACTOR_TOP_TA_SHARE,0.022560268820666446,-0.0061711431421943765,0.016389125678472068
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,FACTOR_TOP_REL_ACT5,0.016159514645997908,-0.009021633437136748,0.007137881208861159
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,FACTOR_TOP_REL_ACT5,0.10321401908345412,-0.04102373711629986,0.06219028196715426
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT1,-0.043454106196236596,0.02917326669842606,-0.014280839497810538
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT1,0.03518625987641518,-0.006973403652776924,0.028212856223638255
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT5,-0.044665614577822255,0.029739379875010952,-0.014926234702811302
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT5,0.18304176886722673,-0.12796687567140078,0.05507489319582594
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT1_BREADTH,-0.008687352831836602,-0.024939787398544556,-0.03362714023038116
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT1_BREADTH,0.0683294969529377,-0.017860570414277632,0.05046892653866007
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT5_BREADTH,-0.03767988061174208,0.01242673456969793,-0.02525314604204415
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,MKT_ACT5_BREADTH,0.0899799498965945,-0.05898212731676692,0.030997822579827583
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,KOSDAQ_TA_SHARE,0.0625964800488598,-0.06123242400533424,0.0013640560435255614
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,KOSDAQ_TA_SHARE,-0.018715298028412493,0.02582275770504177,0.007107459676629275
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,FACTOR_TOP_ACT5_BREADTH,-0.0005505679454053094,-0.0007960473007147821,-0.0013466152461200915
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,FACTOR_TOP_ACT5_BREADTH,0.08957025893924049,-0.05729657136187187,0.03227368757736862
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,FACTOR_TOP_TA_SHARE,0.014383618378161973,-0.014316223834610689,6.739454355128363e-05
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,FACTOR_TOP_TA_SHARE,0.02327840872527693,-0.008728201965723775,0.014550206759553153
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,FACTOR_TOP_REL_ACT5,0.017087935698629517,-0.012271107121347295,0.0048168285772822225
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,FACTOR_TOP_REL_ACT5,0.10283339408345413,-0.043268112116299856,0.05956528196715427
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT1,-0.04371936935413134,0.027449056172110263,-0.01627031318202108
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT1,0.03449325987641519,-0.00911540365277694,0.02537785622363825
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT5,-0.04685403563045383,0.02847937987501094,-0.018374655755442885
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT5,0.18357301211047,-0.13023487567140085,0.053338136439069164
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT1_BREADTH,-0.009760982595901906,-0.026929261082755097,-0.036690243678657
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT1_BREADTH,0.06663123608337246,-0.019120570414277623,0.04751066566909484
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT5_BREADTH,-0.04033251219068944,0.01103410299075055,-0.029298409199938886
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,MKT_ACT5_BREADTH,0.09087340444204905,-0.061250127316766934,0.029623277125282114
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,KOSDAQ_TA_SHARE,0.06359121689096507,-0.06388505558428162,-0.00029383869331654614
