sample,universe,factor,direction,overlay,top_n,cost_bps,state,state_bin,n_periods,train_q1,train_q2,annualized_arith_uplift,tstat,positive_delta_share
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,LOW,57,0.9154689415423738,1.0671946037365474,-0.10809774546834786,-1.1069481489080484,0.49122807017543857
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,MID,57,0.9154689415423738,1.0671946037365474,-0.047986562808890285,-0.8481215762944132,0.43859649122807015
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,HIGH,57,0.9154689415423738,1.0671946037365474,-0.05045720396234303,-0.7078025622309564,0.47368421052631576
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,LOW,30,0.9154689415423738,1.0671946037365474,0.12013275817773025,1.3121819090505829,0.5666666666666667
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,MID,24,0.9154689415423738,1.0671946037365474,-0.06160186342716917,-0.721797129500479,0.375
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1,HIGH,32,0.9154689415423738,1.0671946037365474,0.07535998318036813,0.6664900355538663,0.5625
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,LOW,57,0.9376097320827476,1.0561646937952807,-0.14597206373292476,-1.4699026109973838,0.5087719298245614
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,MID,57,0.9376097320827476,1.0561646937952807,-0.06916931645149574,-1.1924373421589445,0.3333333333333333
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,HIGH,57,0.9376097320827476,1.0561646937952807,0.008599867944839325,0.12934427153525982,0.5614035087719298
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,LOW,30,0.9376097320827476,1.0561646937952807,0.040717753554798175,0.5750756609163306,0.5
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,MID,19,0.9376097320827476,1.0561646937952807,0.016215019439598626,0.11047221606601142,0.47368421052631576
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5,HIGH,37,0.9376097320827476,1.0561646937952807,0.0812821488879813,0.8333353662221019,0.5405405405405406
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,LOW,57,0.28595470966604986,0.4358974358974359,-0.12478984276341576,-1.278996181645585,0.43859649122807015
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,MID,56,0.28595470966604986,0.4358974358974359,-0.03811374668047667,-0.6631460384422235,0.5357142857142857
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,HIGH,58,0.28595470966604986,0.4358974358974359,-0.043542678379909244,-0.6223674984192045,0.43103448275862066
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,LOW,33,0.28595470966604986,0.4358974358974359,-0.006125610811871487,-0.07344105469085598,0.48484848484848486
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,MID,30,0.28595470966604986,0.4358974358974359,0.058192967111403114,0.5848625902021761,0.4666666666666667
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT1_BREADTH,HIGH,23,0.28595470966604986,0.4358974358974359,0.13014841862179535,1.019319892361667,0.6086956521739131
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,LOW,57,0.3281784188034188,0.4723638994393199,-0.21086991078710415,-2.1604442545232505,0.38596491228070173
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,MID,57,0.3281784188034188,0.4723638994393199,-0.02740749623341767,-0.5213052483870475,0.5087719298245614
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,HIGH,57,0.3281784188034188,0.4723638994393199,0.031735894780940646,0.4488854617100084,0.5087719298245614
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,LOW,30,0.3281784188034188,0.4723638994393199,-0.038583386172005456,-0.471326212626971,0.4666666666666667
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,MID,23,0.3281784188034188,0.4723638994393199,0.28523268027571663,2.471753855349133,0.6521739130434783
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,MKT_ACT5_BREADTH,HIGH,33,0.3281784188034188,0.4723638994393199,-0.026236138676657316,-0.26702655127463626,0.45454545454545453
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,LOW,57,0.3936705945864651,0.4530438876051797,-0.12097389366475833,-2.370036464350462,0.42105263157894735
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,MID,57,0.3936705945864651,0.4530438876051797,-0.010138755593946041,-0.14317224266805675,0.5087719298245614
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,HIGH,57,0.3936705945864651,0.4530438876051797,-0.07542886298087678,-0.7494437673193457,0.47368421052631576
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,LOW,31,0.3936705945864651,0.4530438876051797,0.11505680194657872,1.1859436999440958,0.6451612903225806
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,MID,22,0.3936705945864651,0.4530438876051797,0.023270800846071634,0.22864398583260392,0.45454545454545453
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,KOSDAQ_TA_SHARE,HIGH,33,0.3936705945864651,0.4530438876051797,0.013889060784670023,0.13776502109877467,0.42424242424242425
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,LOW,64,0.35,0.5,-0.09203866606591707,-1.8491502021700372,0.4375
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,MID,37,0.35,0.5,-0.09790915619457058,-0.6944248207460446,0.5675675675675675
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,HIGH,70,0.35,0.5,-0.03228218271769036,-0.4969216378781432,0.44285714285714284
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,LOW,34,0.35,0.5,0.021468740162122954,0.28137683114699824,0.4411764705882353
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,MID,13,0.35,0.5,-0.04026118660082945,-0.2997636682217147,0.5384615384615384
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_ACT5_BREADTH,HIGH,39,0.35,0.5,0.1110388652602623,1.1097290025526252,0.5641025641025641
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,LOW,57,0.10277700154157236,0.14764867785859298,-0.12932608279793192,-1.1808028135312583,0.47368421052631576
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,MID,57,0.10277700154157236,0.14764867785859298,-0.059342829652180594,-1.2735096571907523,0.3333333333333333
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,HIGH,57,0.10277700154157236,0.14764867785859298,-0.017872599789468653,-0.29868432483584906,0.5964912280701754
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,LOW,34,0.10277700154157236,0.14764867785859298,0.07051105635758732,0.9838361168330116,0.5
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,MID,15,0.10277700154157236,0.14764867785859298,0.07474432652107368,0.6388093713985615,0.6
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,FACTOR_TOP_TA_SHARE,HIGH,37,0.10277700154157236,0.14764867785859298,0.02752747759128522,0.25289302932983837,0.4864864864864865
