sample,universe,overlay,state,n_configs,median_high_minus_low,positive_spread_share,median_low_uplift,median_high_uplift
OOS,K200,ACT1_W10,FACTOR_TOP_ACT5_BREADTH,96,-0.05113278245905398,0.3125,0.008675155781325068,-0.02229973966838834
OOS,K200,ACT1_W10,FACTOR_TOP_REL_ACT5,96,-0.009820247438376523,0.46875,-0.0016654652088001491,0.0010987550280888438
OOS,K200,ACT1_W10,FACTOR_TOP_TA_SHARE,84,0.018321540970760185,0.5714285714285714,-0.01829532790844695,0.009532138975865124
OOS,K200,ACT1_W10,KOSDAQ_TA_SHARE,96,0.0014962210368399426,0.5104166666666666,0.0007452174071953136,0.0008311196046113426
OOS,K200,ACT1_W10,MKT_ACT1,96,-0.03029527468641962,0.375,0.0017607202910685314,-0.02426107163419032
OOS,K200,ACT1_W10,MKT_ACT1_BREADTH,96,-0.06863627073825294,0.375,0.019735671639947987,-0.03991837574994225
OOS,K200,ACT1_W10,MKT_ACT5,96,-0.01910807020046342,0.375,-0.0056849889780985026,-0.015682498158774223
OOS,K200,ACT1_W10,MKT_ACT5_BREADTH,96,-0.023485187462813598,0.3541666666666667,-0.0019004035697813013,-0.024852751034403417
OOS,K200,ACT5_KEEP_TOP70,FACTOR_TOP_ACT5_BREADTH,96,-0.08836596311542244,0.3229166666666667,0.067181755936524,-0.0007370318399093952
OOS,K200,ACT5_KEEP_TOP70,FACTOR_TOP_REL_ACT5,96,-0.0240009190589773,0.4479166666666667,0.03957278492072851,0.00599442817755581
OOS,K200,ACT5_KEEP_TOP70,FACTOR_TOP_TA_SHARE,84,-0.0343990468938148,0.39285714285714285,0.04184134992945003,0.013422280882984906
OOS,K200,ACT5_KEEP_TOP70,KOSDAQ_TA_SHARE,96,0.021511122716249248,0.5625,0.016605212473417702,0.021085952679529688
OOS,K200,ACT5_KEEP_TOP70,MKT_ACT1,96,-0.05465606367223877,0.21875,0.04943728559612302,-7.688981200329242e-05
OOS,K200,ACT5_KEEP_TOP70,MKT_ACT1_BREADTH,96,-0.050394305149615,0.375,0.06299876638391581,0.007159196237660895
OOS,K200,ACT5_KEEP_TOP70,MKT_ACT5,96,-0.020335309887306578,0.3645833333333333,0.04153620479180656,0.008667946116245884
OOS,K200,ACT5_KEEP_TOP70,MKT_ACT5_BREADTH,96,-0.08533083526670497,0.1875,0.045653703218459504,-0.0506151134604284
OOS,KOSDAQ,ACT1_W10,FACTOR_TOP_ACT5_BREADTH,96,-0.007813948839682403,0.4791666666666667,0.009746072576884705,0.01225081034789656
OOS,KOSDAQ,ACT1_W10,FACTOR_TOP_REL_ACT5,96,-0.015202364975407381,0.4166666666666667,0.019026396723159443,-0.010218312319643177
OOS,KOSDAQ,ACT1_W10,FACTOR_TOP_TA_SHARE,90,-0.02514724134612406,0.37777777777777777,0.014626256098645093,-0.0029055231942359807
OOS,KOSDAQ,ACT1_W10,KOSDAQ_TA_SHARE,96,-0.03951699658986144,0.40625,0.029663938841895235,0.00633599455293771
OOS,KOSDAQ,ACT1_W10,MKT_ACT1,96,0.025964244302125968,0.65625,-0.005234021022705711,0.016737569052268187
OOS,KOSDAQ,ACT1_W10,MKT_ACT1_BREADTH,96,0.008626811665163341,0.5104166666666666,0.0171867499202195,-0.010511372532968556
OOS,KOSDAQ,ACT1_W10,MKT_ACT5,96,0.01924979401597092,0.5625,0.005783924190326974,-0.012674980246685895
OOS,KOSDAQ,ACT1_W10,MKT_ACT5_BREADTH,96,-0.02731519670519781,0.3958333333333333,0.007745348022913432,0.007842565949289206
OOS,KOSDAQ,ACT5_KEEP_TOP70,FACTOR_TOP_ACT5_BREADTH,96,0.0026366407815845774,0.5104166666666666,0.017291140396420674,-0.007676420056864029
OOS,KOSDAQ,ACT5_KEEP_TOP70,FACTOR_TOP_REL_ACT5,96,-0.017031303137707156,0.4270833333333333,0.021427216938484928,-0.004049898580709517
