universe,overlay,state,train_spread,oos_spread,same_sign,train_positive_share,oos_positive_share
KOSPI_ALL,ACT5_KEEP_TOP70,MKT_ACT1,-0.0268652223318517,-0.03332253238829775,True,0.3541666666666667,0.34375
KOSPI_ALL,ACT5_KEEP_TOP70,MKT_ACT5,-0.015731432955154875,-0.004519052547337496,True,0.375,0.46875
KOSPI_ALL,ACT5_KEEP_TOP70,MKT_ACT1_BREADTH,-0.004375645998852748,-0.06643342179970402,True,0.4583333333333333,0.25
KOSPI_ALL,ACT5_KEEP_TOP70,MKT_ACT5_BREADTH,-0.008472034530914004,-0.02966432605019713,True,0.375,0.34375
KOSPI_ALL,ACT5_KEEP_TOP70,KOSDAQ_TA_SHARE,0.017658124283682925,-0.04122743398596588,False,0.6354166666666666,0.25
KOSPI_ALL,ACT5_KEEP_TOP70,FACTOR_TOP_ACT5_BREADTH,-0.0033050176520338717,-0.025006270516340037,True,0.4791666666666667,0.375
KOSPI_ALL,ACT5_KEEP_TOP70,FACTOR_TOP_TA_SHARE,0.024450923730374413,-0.0220498974389196,False,0.6875,0.39285714285714285
KOSPI_ALL,ACT5_KEEP_TOP70,FACTOR_TOP_REL_ACT5,0.01959678585455677,0.012765392567516472,True,0.6041666666666666,0.5208333333333334
KOSDAQ,ACT1_W10,MKT_ACT1,-0.020889799753887554,0.025964244302125968,False,0.375,0.65625
KOSDAQ,ACT1_W10,MKT_ACT5,-0.003399087206940105,0.01924979401597092,False,0.4895833333333333,0.5625
KOSDAQ,ACT1_W10,MKT_ACT1_BREADTH,-0.024084349855506462,0.008626811665163341,False,0.2604166666666667,0.5104166666666666
KOSDAQ,ACT1_W10,MKT_ACT5_BREADTH,-0.02317682253017742,-0.02731519670519781,True,0.3020833333333333,0.3958333333333333
KOSDAQ,ACT1_W10,KOSDAQ_TA_SHARE,0.024209142985255915,-0.03951699658986144,False,0.6145833333333334,0.40625
KOSDAQ,ACT1_W10,FACTOR_TOP_ACT5_BREADTH,-0.020429885452017252,-0.007813948839682403,True,0.3020833333333333,0.4791666666666667
KOSDAQ,ACT1_W10,FACTOR_TOP_TA_SHARE,0.0006948878583066097,-0.02514724134612406,False,0.5,0.37777777777777777
KOSDAQ,ACT1_W10,FACTOR_TOP_REL_ACT5,-0.00378276806580383,-0.015202364975407381,True,0.5,0.4166666666666667
KOSDAQ,ACT5_KEEP_TOP70,MKT_ACT1,-0.050157785617687536,0.03888056457197904,False,0.21875,0.6458333333333334
KOSDAQ,ACT5_KEEP_TOP70,MKT_ACT5,-0.022484165157465163,0.035215477017919807,False,0.4375,0.6875
KOSDAQ,ACT5_KEEP_TOP70,MKT_ACT1_BREADTH,-0.01974671005227046,0.026353060205507532,False,0.34375,0.6145833333333334
KOSDAQ,ACT5_KEEP_TOP70,MKT_ACT5_BREADTH,-0.033856170596586396,0.016389939395779568,False,0.28125,0.53125
KOSDAQ,ACT5_KEEP_TOP70,KOSDAQ_TA_SHARE,0.005042500206401298,0.03928626971166841,True,0.53125,0.5625
KOSDAQ,ACT5_KEEP_TOP70,FACTOR_TOP_ACT5_BREADTH,0.01703535300795902,0.0026366407815845774,True,0.6145833333333334,0.5104166666666666
KOSDAQ,ACT5_KEEP_TOP70,FACTOR_TOP_TA_SHARE,0.011168358262172563,0.006055242424103106,True,0.5625,0.5222222222222223
KOSDAQ,ACT5_KEEP_TOP70,FACTOR_TOP_REL_ACT5,0.01751624065817851,-0.017031303137707156,False,0.59375,0.4270833333333333
KOSPI_KOSDAQ_ALL,ACT1_W10,MKT_ACT1,-0.09055040039902251,-0.05968700693724959,True,0.15625,0.375
KOSPI_KOSDAQ_ALL,ACT1_W10,MKT_ACT5,-0.10080161423710232,-0.023906825182292715,True,0.1875,0.40625
KOSPI_KOSDAQ_ALL,ACT1_W10,MKT_ACT1_BREADTH,-0.01565121413955531,-0.14722769481043307,True,0.4375,0.2604166666666667
KOSPI_KOSDAQ_ALL,ACT1_W10,MKT_ACT5_BREADTH,-0.00502912419481528,-0.0005200593247724535,True,0.4895833333333333,0.4895833333333333
KOSPI_KOSDAQ_ALL,ACT1_W10,KOSDAQ_TA_SHARE,0.011606958602433565,-0.027543699951856578,False,0.625,0.46875
KOSPI_KOSDAQ_ALL,ACT1_W10,FACTOR_TOP_ACT5_BREADTH,-0.03137590496469555,-0.01411789451545225,True,0.2708333333333333,0.5
KOSPI_KOSDAQ_ALL,ACT1_W10,FACTOR_TOP_TA_SHARE,-0.008934532631023494,-0.00584315795042731,True,0.4375,0.4358974358974359
KOSPI_KOSDAQ_ALL,ACT1_W10,FACTOR_TOP_REL_ACT5,-0.009897499778175507,-0.019965844073289853,True,0.4166666666666667,0.46875
KOSPI_KOSDAQ_ALL,ACT5_KEEP_TOP70,MKT_ACT1,-0.03847171012876263,0.017807278332544373,False,0.3125,0.6041666666666666
KOSPI_KOSDAQ_ALL,ACT5_KEEP_TOP70,MKT_ACT5,-0.024229162037434818,-0.03416591293340905,True,0.34375,0.40625
KOSPI_KOSDAQ_ALL,ACT5_KEEP_TOP70,MKT_ACT1_BREADTH,-0.01965798713944861,-0.02632339464363227,True,0.3958333333333333,0.3229166666666667
KOSPI_KOSDAQ_ALL,ACT5_KEEP_TOP70,MKT_ACT5_BREADTH,-0.026250551537820854,-0.045141184232242164,True,0.40625,0.34375
KOSPI_KOSDAQ_ALL,ACT5_KEEP_TOP70,KOSDAQ_TA_SHARE,0.02569273075247143,-0.04025886781092904,False,0.6041666666666666,0.34375
