overlay,state,universe_count,same_sign_share,median_train_spread,median_oos_spread,median_oos_positive_share
ACT1_W10,FACTOR_TOP_ACT5_BREADTH,6,1.0,-0.02079125207589732,-0.014952467649451531,0.40625
ACT1_W10,FACTOR_TOP_REL_ACT5,6,0.6666666666666666,-0.01134077739121811,-0.017584104524348616,0.453125
ACT1_W10,FACTOR_TOP_TA_SHARE,6,0.3333333333333333,-0.008944861921142331,0.006239191510166438,0.4858058608058608
ACT1_W10,KOSDAQ_TA_SHARE,6,0.3333333333333333,0.010705793107341283,-0.016243026949919644,0.46354166666666663
ACT1_W10,MKT_ACT1,6,0.6666666666666666,-0.020691704361214876,-0.027854557792408356,0.375
ACT1_W10,MKT_ACT1_BREADTH,6,0.6666666666666666,-0.009706939755935874,-0.07490090805091593,0.28645833333333337
ACT1_W10,MKT_ACT5,6,0.3333333333333333,-0.012041101801339634,-0.0049138524645917815,0.46875
ACT1_W10,MKT_ACT5_BREADTH,6,0.6666666666666666,-0.012387319785636852,-0.01752201746363929,0.43229166666666663
ACT5_KEEP_TOP70,FACTOR_TOP_ACT5_BREADTH,6,0.6666666666666666,-0.018948226789811225,-0.0065718601092814265,0.46875
ACT5_KEEP_TOP70,FACTOR_TOP_REL_ACT5,6,0.3333333333333333,0.0065764541298411775,-0.008017891043573236,0.47395833333333337
ACT5_KEEP_TOP70,FACTOR_TOP_TA_SHARE,6,0.6666666666666666,0.004027391906435489,-0.007997327507408248,0.47264957264957264
ACT5_KEEP_TOP70,KOSDAQ_TA_SHARE,6,0.16666666666666666,0.016648645224435953,-0.01786883463537557,0.41145833333333337
ACT5_KEEP_TOP70,MKT_ACT1,6,0.5,-0.0377729276026461,-0.013120542254575243,0.4375
ACT5_KEEP_TOP70,MKT_ACT1_BREADTH,6,0.5,-0.009458988100241022,-0.05077888904828538,0.34895833333333337
ACT5_KEEP_TOP70,MKT_ACT5,6,0.5,-0.01910779905631002,-0.003733047734971076,0.484375
ACT5_KEEP_TOP70,MKT_ACT5_BREADTH,6,0.8333333333333334,-0.013046422136045229,-0.02283067130002779,0.375
