universe,metric,strategy,sample,phase,n_dates,net_delta_30
KOSPI_EX_K200,TURNOVER20,TOP01,EARLY_2016_2019,7,97,0.00040264207435247235
KOSPI_EX_K200,TURNOVER20,TOP01,EARLY_2016_2019,8,97,0.00027774195881995336
KOSPI_EX_K200,TURNOVER20,TOP01,EARLY_2016_2019,9,96,0.0005186245544097517
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,0,75,0.00025398309826432647
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,1,74,-0.00023247652673340585
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,2,74,0.000244247630254849
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,3,74,0.00029087738343707456
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,4,74,0.00022323670302954666
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,5,74,0.000201212703226027
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,6,74,-0.00018303306204799107
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,7,74,6.674849866902867e-05
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,8,74,-0.00018458969463869745
KOSPI_EX_K200,TURNOVER20,TOP01,LATE_2020_2022,9,75,-0.00020207384651744684
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,0,48,0.00033947036846827014
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,1,49,0.0005177850634571379
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,2,49,0.0005537204214499467
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,3,49,0.0004551004695138364
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,4,49,0.0008436579223852799
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,5,49,0.0005724121981241502
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,6,49,0.00045454495369127453
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,7,49,0.000412721626001671
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,8,49,0.00013222592817802874
KOSPI_EX_K200,TURNOVER20,TOP01,NORMAL_2023_2024,9,49,0.00029254871284287897
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,0,13,0.003552764622126395
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,1,13,0.001975592052070007
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,2,14,0.0011767333344676546
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,3,14,0.00022907212130371396
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,4,14,0.0020352207783274835
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,5,14,0.000531788975450136
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,6,14,0.0006324329811891105
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,7,14,-0.0006005960769040671
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,8,14,0.0004859903212046257
KOSPI_EX_K200,TURNOVER20,TOP01,YTD_2026,9,13,0.0015078779569276137
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,0,25,0.0004502012790770187
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,1,25,0.0007424254840852098
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,2,24,0.0009412634383860119
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,3,24,0.00046529568141679805
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,4,24,0.000776143756903529
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,5,24,0.0002247878561858587
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,6,24,9.985039376556547e-05
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,7,24,0.0007712977054835164
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,8,24,0.000897270912076724
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,BULL_2025,9,24,8.937872488501152e-05
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,0,96,0.0004965886389288854
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,1,96,0.0003178404396222089
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,2,96,0.00018990551741956247
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,3,96,2.0591234867285793e-05
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,4,97,0.0002736490759248391
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,5,97,0.00011292019536213363
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,6,97,0.0005527372782035029
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,7,97,0.0004497045830888696
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,8,97,0.00017859546343150992
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,EARLY_2016_2019,9,96,0.00046489284530507063
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,0,75,0.0006507249913844978
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,1,74,0.00029114922001105727
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,2,74,0.00015417705221409603
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,3,74,0.0001986782004090165
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,4,74,0.0002178974400223744
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,5,74,0.00020028511125149182
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,6,74,0.00012178400643216072
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,7,74,0.00040500309152868125
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,8,74,-8.590086242787232e-05
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,LATE_2020_2022,9,75,0.00017946824943566804
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,0,48,0.0003939044016392703
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,1,49,0.0004378122130309606
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,2,49,0.0003393371798649287
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,3,49,0.0002051798591604397
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,4,49,0.0005889290133592425
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,5,49,0.0005852790393339365
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,6,49,0.0003464744499661739
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,7,49,0.0006629724999849229
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,8,49,8.061722759977069e-05
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,NORMAL_2023_2024,9,49,0.0003500775280924645
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,0,13,0.0024599800350466874
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,1,13,-0.0001448639485840388
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,2,14,0.0006362077483457457
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,3,14,1.5483576804115424e-05
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,4,14,0.00255016742630175
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,5,14,0.0007212917882317263
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,6,14,0.0009733285101466221
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,7,14,-0.0016879346603665961
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,8,14,-0.0013100054097430669
KOSPI_EX_K200,TURNOVER20,TOP01_LOW10,YTD_2026,9,13,0.0006527172865040747
