universe,metric,strategy,sample,phase,family,n_dates,net_delta_30
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,5,FLOW,97,0.00029837569818952944
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,5,MOMENTUM,97,0.0006331765784700075
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,5,REVISION,97,0.0001977389806059415
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,5,VALUE,97,0.00036958383238099447
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,6,FLOW,97,0.0003098416490266364
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,6,MOMENTUM,97,0.0006911885211170162
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,6,REVISION,97,0.00043599254777410516
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,6,VALUE,97,0.0003010331006019705
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,7,FLOW,97,0.0004802664547502294
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,7,MOMENTUM,97,0.0012305863487615846
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,7,REVISION,97,0.0008040108038763402
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,7,VALUE,97,0.00045478590728125894
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,8,FLOW,97,0.0003196792857700824
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,8,MOMENTUM,97,0.0009716265626601317
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,8,REVISION,97,0.000538708145612027
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,8,VALUE,97,0.0003564095123210417
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,9,FLOW,96,0.00024067528514542643
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,9,MOMENTUM,96,0.001167996774355208
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,9,REVISION,96,0.0004437340125031297
KOSDAQ,ACT1,LOW05,EARLY_2016_2019,9,VALUE,96,0.00024122605258084981
KOSDAQ,ACT1,LOW05,LATE_2020_2022,0,FLOW,75,0.00016367687314434878
KOSDAQ,ACT1,LOW05,LATE_2020_2022,0,MOMENTUM,75,0.0002654484548799718
KOSDAQ,ACT1,LOW05,LATE_2020_2022,0,REVISION,75,0.00022732213030319295
KOSDAQ,ACT1,LOW05,LATE_2020_2022,0,VALUE,75,1.373366059160975e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,1,FLOW,74,-0.00028052231508883014
KOSDAQ,ACT1,LOW05,LATE_2020_2022,1,MOMENTUM,74,-0.00024651200885610183
KOSDAQ,ACT1,LOW05,LATE_2020_2022,1,REVISION,74,-0.0003486055820531445
KOSDAQ,ACT1,LOW05,LATE_2020_2022,1,VALUE,74,0.0001648041470715668
KOSDAQ,ACT1,LOW05,LATE_2020_2022,2,FLOW,74,-0.00039288544239972063
KOSDAQ,ACT1,LOW05,LATE_2020_2022,2,MOMENTUM,74,-0.0005160412668669833
KOSDAQ,ACT1,LOW05,LATE_2020_2022,2,REVISION,74,4.189222346366913e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,2,VALUE,74,0.0001164048108537452
KOSDAQ,ACT1,LOW05,LATE_2020_2022,3,FLOW,74,-6.280528938606441e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,3,MOMENTUM,74,3.2344183549848064e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,3,REVISION,74,0.00014379386385398823
KOSDAQ,ACT1,LOW05,LATE_2020_2022,3,VALUE,74,-0.00046630475868032854
KOSDAQ,ACT1,LOW05,LATE_2020_2022,4,FLOW,74,-5.085598538360208e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,4,MOMENTUM,74,-0.0015296796796954498
KOSDAQ,ACT1,LOW05,LATE_2020_2022,4,REVISION,74,0.0003358526932377403
KOSDAQ,ACT1,LOW05,LATE_2020_2022,4,VALUE,74,-0.00015000903823827918
KOSDAQ,ACT1,LOW05,LATE_2020_2022,5,FLOW,74,0.00048239142028020965
KOSDAQ,ACT1,LOW05,LATE_2020_2022,5,MOMENTUM,74,-0.00022716933235821963
KOSDAQ,ACT1,LOW05,LATE_2020_2022,5,REVISION,74,-2.900763145134279e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,5,VALUE,74,0.000174383789904001
KOSDAQ,ACT1,LOW05,LATE_2020_2022,6,FLOW,74,-0.00015001848698828875
